referencia,ano,mes,regiao,estado,gasolina_comum_preco_revenda_avg,etanol_hidratado_preco_revenda_avg
2001-09,2001,9,Nordeste,Paraiba,1.742,1.124
2001-09,2001,9,Sul,Parana,1.6981,0.9112
2001-09,2001,9,Nordeste,Pernambuco,1.7282,1.0684
2001-09,2001,9,Nordeste,Piaui,1.8292,1.2681
2001-09,2001,9,Sudeste,Rio De Janeiro,1.7154,1.0364
2001-09,2001,9,Nordeste,Rio Grande Do Norte,1.7286,1.1502
2001-09,2001,9,Sul,Rio Grande Do Sul,1.7706,1.1967
2001-09,2001,9,Norte,Rondonia,1.91,1.2582
2001-09,2001,9,Norte,Roraima,1.807,1.2948
2001-09,2001,9,Sul,Santa Catarina,1.7615,1.1497
2001-09,2001,9,Sudeste,Sao Paulo,1.6675,0.8693
2001-09,2001,9,Nordeste,Sergipe,1.6612,1.1448
2001-09,2001,9,Norte,Tocantins,1.8779,1.2148
2001-10,2001,10,Norte,Acre,1.9825,1.3353
2001-10,2001,10,Nordeste,Alagoas,1.7777,1.0941
2001-10,2001,10,Norte,Amapa,1.9308,1.3678
2001-10,2001,10,Norte,Amazonas,1.9216,1.2275
2001-10,2001,10,Nordeste,Bahia,1.8185,1.1943
2001-10,2001,10,Nordeste,Ceara,1.825,1.1804
2001-10,2001,10,Centro Oeste,Distrito Federal,1.7463,1.1719
2001-10,2001,10,Sudeste,Espirito Santo,1.7811,1.159
2001-10,2001,10,Centro Oeste,Goias,1.7643,1.05
2001-10,2001,10,Nordeste,Maranhao,1.8812,1.2558
2001-10,2001,10,Centro Oeste,Mato Grosso,1.9021,1.1096
2001-10,2001,10,Centro Oeste,Mato Grosso Do Sul,1.8408,1.1526
2001-10,2001,10,Sudeste,Minas Gerais,1.7598,1.0661
2001-10,2001,10,Norte,Para,1.9947,1.3534
2001-10,2001,10,Nordeste,Paraiba,1.8306,1.1247
2001-10,2001,10,Sul,Parana,1.7802,0.9641
2001-10,2001,10,Nordeste,Pernambuco,1.7633,1.0761
2001-10,2001,10,Nordeste,Piaui,1.9098,1.2762
2001-10,2001,10,Sudeste,Rio De Janeiro,1.7673,1.0443
2001-10,2001,10,Nordeste,Rio Grande Do Norte,1.7755,1.1476
2001-10,2001,10,Sul,Rio Grande Do Sul,1.8228,1.2023
2001-10,2001,10,Norte,Rondonia,1.9778,1.2674
2001-10,2001,10,Norte,Roraima,1.8457,1.2972
2001-10,2001,10,Sul,Santa Catarina,1.8403,1.1593
2001-10,2001,10,Sudeste,Sao Paulo,1.7185,0.8802
2001-10,2001,10,Nordeste,Sergipe,1.7283,1.1455
2001-10,2001,10,Norte,Tocantins,1.9309,1.2142
2001-11,2001,11,Norte,Acre,2.0066,1.3299
2001-11,2001,11,Nordeste,Alagoas,1.7998,1.1001
2001-11,2001,11,Norte,Amapa,1.9474,1.3722
2001-11,2001,11,Norte,Amazonas,1.9296,1.2172
2001-11,2001,11,Nordeste,Bahia,1.8001,1.1919
2001-11,2001,11,Nordeste,Ceara,1.8406,1.1769
2001-11,2001,11,Centro Oeste,Distrito Federal,1.7597,1.1773
2001-11,2001,11,Sudeste,Espirito Santo,1.8001,1.1642
2001-11,2001,11,Centro Oeste,Goias,1.7812,1.0543
2001-11,2001,11,Nordeste,Maranhao,1.8828,1.2562
2001-11,2001,11,Centro Oeste,Mato Grosso,1.8983,1.1022
2001-11,2001,11,Centro Oeste,Mato Grosso Do Sul,1.8474,1.149
2001-11,2001,11,Sudeste,Minas Gerais,1.7608,1.0589
2001-11,2001,11,Norte,Para,1.9982,1.3547
2001-11,2001,11,Nordeste,Paraiba,1.8457,1.1202
2001-11,2001,11,Sul,Parana,1.7482,0.9344
2001-11,2001,11,Nordeste,Pernambuco,1.7453,1.0755
2001-11,2001,11,Nordeste,Piaui,1.9287,1.2756
2001-11,2001,11,Sudeste,Rio De Janeiro,1.775,1.0432
2001-11,2001,11,Nordeste,Rio Grande Do Norte,1.7508,1.149
2001-11,2001,11,Sul,Rio Grande Do Sul,1.8307,1.204
2001-11,2001,11,Norte,Rondonia,1.9899,1.2661
2001-11,2001,11,Norte,Roraima,1.8572,1.3004
2001-11,2001,11,Sul,Santa Catarina,1.8538,1.1537
2001-11,2001,11,Sudeste,Sao Paulo,1.7228,0.8756
2001-11,2001,11,Nordeste,Sergipe,1.7365,1.1352
2001-11,2001,11,Norte,Tocantins,1.9445,1.2073
2001-12,2001,12,Norte,Acre,2.0121,1.3347
2001-12,2001,12,Nordeste,Alagoas,1.7982,1.0935
2001-12,2001,12,Norte,Amapa,1.9473,1.3777
2001-12,2001,12,Norte,Amazonas,1.9277,1.2065
2001-12,2001,12,Nordeste,Bahia,1.8082,1.1877
2001-12,2001,12,Nordeste,Ceara,1.8384,1.166
2001-12,2001,12,Centro Oeste,Distrito Federal,1.76,1.1772
2001-12,2001,12,Sudeste,Espirito Santo,1.7928,1.143
2001-12,2001,12,Centro Oeste,Goias,1.7773,1.0496
2001-12,2001,12,Nordeste,Maranhao,1.8617,1.2469
2001-12,2001,12,Centro Oeste,Mato Grosso,1.8935,1.1094
2001-12,2001,12,Centro Oeste,Mato Grosso Do Sul,1.8398,1.1392
2001-12,2001,12,Sudeste,Minas Gerais,1.7533,1.0558
2001-12,2001,12,Norte,Para,1.9917,1.351
2001-12,2001,12,Nordeste,Paraiba,1.843,1.1243
2001-12,2001,12,Sul,Parana,1.7233,0.9194
2001-12,2001,12,Nordeste,Pernambuco,1.7593,1.0708
2001-12,2001,12,Nordeste,Piaui,1.9281,1.2768
2001-12,2001,12,Sudeste,Rio De Janeiro,1.775,1.0454
2001-12,2001,12,Nordeste,Rio Grande Do Norte,1.7641,1.1467
2001-12,2001,12,Sul,Rio Grande Do Sul,1.8223,1.1988
2001-12,2001,12,Norte,Rondonia,1.9808,1.2604
2001-12,2001,12,Norte,Roraima,1.8563,1.3002
2001-12,2001,12,Sul,Santa Catarina,1.8481,1.1505
2001-12,2001,12,Sudeste,Sao Paulo,1.7185,0.876
2001-12,2001,12,Nordeste,Sergipe,1.7339,1.1289
2001-12,2001,12,Norte,Tocantins,1.9455,1.2105
2002-01,2002,1,Norte,Acre,1.798,1.3191
2002-01,2002,1,Nordeste,Alagoas,1.5932,1.092
2002-01,2002,1,Norte,Amapa,1.6546,1.353
2002-01,2002,1,Norte,Amazonas,1.7024,1.2003
2002-01,2002,1,Nordeste,Bahia,1.6388,1.1822
2002-01,2002,1,Nordeste,Ceara,1.5555,1.1543
2002-01,2002,1,Centro Oeste,Distrito Federal,1.572,1.1746
2002-01,2002,1,Sudeste,Espirito Santo,1.5889,1.1262
2002-01,2002,1,Centro Oeste,Goias,1.5694,1.0308
2002-01,2002,1,Nordeste,Maranhao,1.6256,1.2441
2002-01,2002,1,Centro Oeste,Mato Grosso,1.7421,1.102
2002-01,2002,1,Centro Oeste,Mato Grosso Do Sul,1.6308,1.1314
2002-01,2002,1,Sudeste,Minas Gerais,1.5891,1.0439
2002-01,2002,1,Norte,Para,1.7454,1.3317
2002-01,2002,1,Nordeste,Paraiba,1.6311,1.0953
2002-01,2002,1,Sul,Parana,1.5541,0.9167
2002-01,2002,1,Nordeste,Pernambuco,1.5124,1.0434
2002-01,2002,1,Nordeste,Piaui,1.6364,1.2686
2002-01,2002,1,Sudeste,Rio De Janeiro,1.6077,1.0363
2002-01,2002,1,Nordeste,Rio Grande Do Norte,1.515,1.131
2002-01,2002,1,Sul,Rio Grande Do Sul,1.6619,1.1938
2002-01,2002,1,Norte,Rondonia,1.7985,1.2609
2002-01,2002,1,Norte,Roraima,1.5867,1.3009
2002-01,2002,1,Sul,Santa Catarina,1.6248,1.1429
2002-01,2002,1,Sudeste,Sao Paulo,1.5472,0.8719
2002-01,2002,1,Nordeste,Sergipe,1.5267,1.1253
2002-01,2002,1,Norte,Tocantins,1.6743,1.2034
2002-02,2002,2,Norte,Acre,1.7078,1.3014
2002-02,2002,2,Nordeste,Alagoas,1.5505,1.0872
2002-02,2002,2,Norte,Amapa,1.5859,1.341
2002-02,2002,2,Norte,Amazonas,1.5857,1.1878
2002-02,2002,2,Nordeste,Bahia,1.531,1.1736
2002-02,2002,2,Nordeste,Ceara,1.4947,1.1364
2002-02,2002,2,Centro Oeste,Distrito Federal,1.4624,1.1597
2002-02,2002,2,Sudeste,Espirito Santo,1.4965,1.1091
2002-02,2002,2,Centro Oeste,Goias,1.5113,1.0205
2002-02,2002,2,Nordeste,Maranhao,1.5243,1.2365
2002-02,2002,2,Centro Oeste,Mato Grosso,1.6449,1.0925
2002-02,2002,2,Centro Oeste,Mato Grosso Do Sul,1.5625,1.1145
2002-02,2002,2,Sudeste,Minas Gerais,1.5187,1.0337
2002-02,2002,2,Norte,Para,1.6133,1.3285
2002-02,2002,2,Nordeste,Paraiba,1.5443,1.0833
2002-02,2002,2,Sul,Parana,1.4532,0.9088
2002-02,2002,2,Nordeste,Pernambuco,1.4932,1.0329
2002-02,2002,2,Nordeste,Piaui,1.5012,1.25
2002-02,2002,2,Sudeste,Rio De Janeiro,1.5246,1.0332
2002-02,2002,2,Nordeste,Rio Grande Do Norte,1.4261,1.0956
2002-02,2002,2,Sul,Rio Grande Do Sul,1.5885,1.189
2002-02,2002,2,Norte,Rondonia,1.6963,1.2593
2002-02,2002,2,Norte,Roraima,1.534,1.3002
2002-02,2002,2,Sul,Santa Catarina,1.554,1.1412
2002-02,2002,2,Sudeste,Sao Paulo,1.4723,0.8667
2002-02,2002,2,Nordeste,Sergipe,1.4755,1.1226
2002-02,2002,2,Norte,Tocantins,1.5658,1.1922
2002-03,2002,3,Norte,Acre,1.7549,1.3039
2002-03,2002,3,Nordeste,Alagoas,1.6067,1.0843
2002-03,2002,3,Norte,Amapa,1.6852,1.3474
2002-03,2002,3,Norte,Amazonas,1.6694,1.186
2002-03,2002,3,Nordeste,Bahia,1.6058,1.1728
2002-03,2002,3,Nordeste,Ceara,1.6084,1.1304
2002-03,2002,3,Centro Oeste,Distrito Federal,1.5146,1.1706
2002-03,2002,3,Sudeste,Espirito Santo,1.604,1.1515
2002-03,2002,3,Centro Oeste,Goias,1.563,1.0174
2002-03,2002,3,Nordeste,Maranhao,1.6024,1.2375
2002-03,2002,3,Centro Oeste,Mato Grosso,1.6851,1.115
2002-03,2002,3,Centro Oeste,Mato Grosso Do Sul,1.615,1.1067
2002-03,2002,3,Sudeste,Minas Gerais,1.5627,1.0302
2002-03,2002,3,Norte,Para,1.7169,1.322
2002-03,2002,3,Nordeste,Paraiba,1.6072,1.0749
2002-03,2002,3,Sul,Parana,1.5496,0.9126
2002-03,2002,3,Nordeste,Pernambuco,1.558,1.0234
2002-03,2002,3,Nordeste,Piaui,1.5246,1.243
2002-03,2002,3,Sudeste,Rio De Janeiro,1.5641,1.0333
2002-03,2002,3,Nordeste,Rio Grande Do Norte,1.495,1.082
2002-03,2002,3,Sul,Rio Grande Do Sul,1.6597,1.1894
2002-03,2002,3,Norte,Rondonia,1.7441,1.2603
2002-03,2002,3,Norte,Roraima,1.5846,1.3032
2002-03,2002,3,Sul,Santa Catarina,1.6372,1.1394
2002-03,2002,3,Sudeste,Sao Paulo,1.5353,0.8649
2002-03,2002,3,Nordeste,Sergipe,1.5172,1.1218
2002-03,2002,3,Norte,Tocantins,1.6337,1.1941
2002-04,2002,4,Norte,Acre,1.8817,1.3063
2002-04,2002,4,Nordeste,Alagoas,1.77,1.0666
2002-04,2002,4,Norte,Amapa,1.8576,1.3514
2002-04,2002,4,Norte,Amazonas,1.6876,1.1856
2002-04,2002,4,Nordeste,Bahia,1.7501,1.1678
2002-04,2002,4,Nordeste,Ceara,1.7105,1.1239
2002-04,2002,4,Centro Oeste,Distrito Federal,1.6417,1.1704
2002-04,2002,4,Sudeste,Espirito Santo,1.7347,1.1014
2002-04,2002,4,Centro Oeste,Goias,1.7029,1.02
2002-04,2002,4,Nordeste,Maranhao,1.722,1.2369
2002-04,2002,4,Centro Oeste,Mato Grosso,1.8173,1.1063
2002-04,2002,4,Centro Oeste,Mato Grosso Do Sul,1.7295,1.1011
2002-04,2002,4,Sudeste,Minas Gerais,1.6815,1.0317
2002-04,2002,4,Norte,Para,1.8672,1.3237
2002-04,2002,4,Nordeste,Paraiba,1.7114,1.0623
2002-04,2002,4,Sul,Parana,1.7148,0.9206
2002-04,2002,4,Nordeste,Pernambuco,1.6691,1.0249
2002-04,2002,4,Nordeste,Piaui,1.6334,1.2429
2002-04,2002,4,Sudeste,Rio De Janeiro,1.6744,1.0423
2002-04,2002,4,Nordeste,Rio Grande Do Norte,1.6792,1.0655
2002-04,2002,4,Sul,Rio Grande Do Sul,1.7906,1.1887
2002-04,2002,4,Norte,Rondonia,1.9336,1.2649
2002-04,2002,4,Norte,Roraima,1.6773,1.3011
2002-04,2002,4,Sul,Santa Catarina,1.7638,1.1319
2002-04,2002,4,Sudeste,Sao Paulo,1.698,0.8683
2002-04,2002,4,Nordeste,Sergipe,1.6069,1.1204
2002-04,2002,4,Norte,Tocantins,1.7781,1.1994
2002-05,2002,5,Norte,Acre,1.9057,1.3048
2002-05,2002,5,Nordeste,Alagoas,1.7959,1.0283
2002-05,2002,5,Norte,Amapa,1.8785,1.3494
2002-05,2002,5,Norte,Amazonas,1.7925,1.2025
2002-05,2002,5,Nordeste,Bahia,1.7721,1.1613
2002-05,2002,5,Nordeste,Ceara,1.7113,1.11
2002-05,2002,5,Centro Oeste,Distrito Federal,1.6819,1.1652
2002-05,2002,5,Sudeste,Espirito Santo,1.7369,1.0371
2002-05,2002,5,Centro Oeste,Goias,1.7155,1.0275
2002-05,2002,5,Nordeste,Maranhao,1.7104,1.2236
2002-05,2002,5,Centro Oeste,Mato Grosso,1.7786,1.0923
2002-05,2002,5,Centro Oeste,Mato Grosso Do Sul,1.7375,1.0933
2002-05,2002,5,Sudeste,Minas Gerais,1.6793,1.0335
2002-05,2002,5,Norte,Para,1.8871,1.3317
2002-05,2002,5,Nordeste,Paraiba,1.7262,1.0659
2002-05,2002,5,Sul,Parana,1.7107,0.9134
2002-05,2002,5,Nordeste,Pernambuco,1.7318,1.0187
2002-05,2002,5,Nordeste,Piaui,1.683,1.2273
2002-05,2002,5,Sudeste,Rio De Janeiro,1.6932,1.0375
2002-05,2002,5,Nordeste,Rio Grande Do Norte,1.6924,1.0412
2002-05,2002,5,Sul,Rio Grande Do Sul,1.7881,1.1839
2002-05,2002,5,Norte,Rondonia,1.9663,1.2656
2002-05,2002,5,Norte,Roraima,1.6848,1.3002
2002-05,2002,5,Sul,Santa Catarina,1.7337,1.1132
2002-05,2002,5,Sudeste,Sao Paulo,1.704,0.8633
2002-05,2002,5,Nordeste,Sergipe,1.6144,1.1133
2002-05,2002,5,Norte,Tocantins,1.8088,1.2036
2002-06,2002,6,Norte,Acre,1.9098,1.3011
2002-06,2002,6,Nordeste,Alagoas,1.7859,1.0106
2002-06,2002,6,Norte,Amapa,1.8952,1.3462
2002-06,2002,6,Norte,Amazonas,1.746,1.1945
2002-06,2002,6,Nordeste,Bahia,1.7701,1.1576
2002-06,2002,6,Nordeste,Ceara,1.7218,1.0959
2002-06,2002,6,Centro Oeste,Distrito Federal,1.6809,1.1673
2002-06,2002,6,Sudeste,Espirito Santo,1.6707,1.0267
2002-06,2002,6,Centro Oeste,Goias,1.7364,1.0242
2002-06,2002,6,Nordeste,Maranhao,1.7085,1.2175
2002-06,2002,6,Centro Oeste,Mato Grosso,1.8643,1.0586
2002-06,2002,6,Centro Oeste,Mato Grosso Do Sul,1.7337,1.0779
2002-06,2002,6,Sudeste,Minas Gerais,1.6614,1.0225
2002-06,2002,6,Norte,Para,1.8745,1.3193
2002-06,2002,6,Nordeste,Paraiba,1.6655,1.054
2002-06,2002,6,Sul,Parana,1.698,0.9016
2002-06,2002,6,Nordeste,Pernambuco,1.7027,1.0207
2002-06,2002,6,Nordeste,Piaui,1.6811,1.2151
2002-06,2002,6,Sudeste,Rio De Janeiro,1.6828,1.0277
2002-06,2002,6,Nordeste,Rio Grande Do Norte,1.704,1.0407
2002-06,2002,6,Sul,Rio Grande Do Sul,1.7816,1.1779
2002-06,2002,6,Norte,Rondonia,1.9637,1.2638
2002-06,2002,6,Norte,Roraima,1.6844,1.298
2002-06,2002,6,Sul,Santa Catarina,1.7292,1.1078
2002-06,2002,6,Sudeste,Sao Paulo,1.6904,0.8453
2002-06,2002,6,Nordeste,Sergipe,1.608,1.109
2002-06,2002,6,Norte,Tocantins,1.8087,1.2015
2002-07,2002,7,Norte,Acre,2.0016,1.3139
2002-07,2002,7,Nordeste,Alagoas,1.8422,1.0093
2002-07,2002,7,Norte,Amapa,1.9711,1.3519
2002-07,2002,7,Norte,Amazonas,1.7625,1.1894
2002-07,2002,7,Nordeste,Bahia,1.8808,1.1455
2002-07,2002,7,Nordeste,Ceara,1.7042,1.0811
2002-07,2002,7,Centro Oeste,Distrito Federal,1.7354,1.0247
2002-07,2002,7,Sudeste,Espirito Santo,1.8365,1.0568
2002-07,2002,7,Centro Oeste,Goias,1.7168,0.9434
2002-07,2002,7,Nordeste,Maranhao,1.8268,1.2233
2002-07,2002,7,Centro Oeste,Mato Grosso,1.958,1.0714
2002-07,2002,7,Centro Oeste,Mato Grosso Do Sul,1.8136,1.0335
2002-07,2002,7,Sudeste,Minas Gerais,1.7109,0.9742
2002-07,2002,7,Norte,Para,1.9123,1.311
2002-07,2002,7,Nordeste,Paraiba,1.8189,1.0899
2002-07,2002,7,Sul,Parana,1.7386,0.8429
2002-07,2002,7,Nordeste,Pernambuco,1.7305,1.0269
2002-07,2002,7,Nordeste,Piaui,1.7873,1.2029
2002-07,2002,7,Sudeste,Rio De Janeiro,1.7254,0.9712
2002-07,2002,7,Nordeste,Rio Grande Do Norte,1.7816,1.0468
2002-07,2002,7,Sul,Rio Grande Do Sul,1.8616,1.1458
2002-07,2002,7,Norte,Rondonia,2.0631,1.259
2002-07,2002,7,Norte,Roraima,1.7337,1.3425
2002-07,2002,7,Sul,Santa Catarina,1.7979,1.0534
2002-07,2002,7,Sudeste,Sao Paulo,1.7428,0.7667
2002-07,2002,7,Nordeste,Sergipe,1.67,1.1068
2002-07,2002,7,Norte,Tocantins,1.8459,1.1912
2002-08,2002,8,Norte,Acre,1.9775,1.3078
2002-08,2002,8,Nordeste,Alagoas,1.8433,1.0071
2002-08,2002,8,Norte,Amapa,1.96,1.3476
2002-08,2002,8,Norte,Amazonas,1.7617,1.188
2002-08,2002,8,Nordeste,Bahia,1.8393,1.1349
2002-08,2002,8,Nordeste,Ceara,1.7755,1.0814
2002-08,2002,8,Centro Oeste,Distrito Federal,1.7579,0.9856
2002-08,2002,8,Sudeste,Espirito Santo,1.8187,1.0111
2002-08,2002,8,Centro Oeste,Goias,1.7364,0.9277
2002-08,2002,8,Nordeste,Maranhao,1.8186,1.2127
2002-08,2002,8,Centro Oeste,Mato Grosso,1.9155,1.09
2002-08,2002,8,Centro Oeste,Mato Grosso Do Sul,1.7947,0.9752
2002-08,2002,8,Sudeste,Minas Gerais,1.6823,0.9321
2002-08,2002,8,Norte,Para,1.92,1.2994
2002-08,2002,8,Nordeste,Paraiba,1.8308,1.0814
2002-08,2002,8,Sul,Parana,1.712,0.8184
2002-08,2002,8,Nordeste,Pernambuco,1.7831,1.022
2002-08,2002,8,Nordeste,Piaui,1.7353,1.1959
2002-08,2002,8,Sudeste,Rio De Janeiro,1.7134,0.919
2002-08,2002,8,Nordeste,Rio Grande Do Norte,1.7309,1.0486
2002-08,2002,8,Sul,Rio Grande Do Sul,1.8432,1.0794
2002-08,2002,8,Norte,Rondonia,2.0494,1.246
2002-08,2002,8,Norte,Roraima,1.7301,1.3467
2002-08,2002,8,Sul,Santa Catarina,1.8008,1.0191
2002-08,2002,8,Sudeste,Sao Paulo,1.714,0.7461
2002-08,2002,8,Nordeste,Sergipe,1.6605,1.0982
2002-08,2002,8,Norte,Tocantins,1.8292,1.1842
2002-09,2002,9,Norte,Acre,1.9875,1.3158
2002-09,2002,9,Nordeste,Alagoas,1.8331,1.0119
2002-09,2002,9,Norte,Amapa,1.8989,1.3559
2002-09,2002,9,Norte,Amazonas,1.7734,1.1868
2002-09,2002,9,Nordeste,Bahia,1.8376,1.13
2002-09,2002,9,Nordeste,Ceara,1.711,1.0961
2002-09,2002,9,Centro Oeste,Distrito Federal,1.7532,1.0267
2002-09,2002,9,Sudeste,Espirito Santo,1.7401,0.9712
2002-09,2002,9,Centro Oeste,Goias,1.7129,0.9052
2002-09,2002,9,Nordeste,Maranhao,1.8251,1.2073
2002-09,2002,9,Centro Oeste,Mato Grosso,1.9188,1.1243
2002-09,2002,9,Centro Oeste,Mato Grosso Do Sul,1.7858,0.9782
2002-09,2002,9,Sudeste,Minas Gerais,1.6729,0.9493
2002-09,2002,9,Norte,Para,1.9149,1.3066
2002-09,2002,9,Nordeste,Paraiba,1.7954,1.0411
2002-09,2002,9,Sul,Parana,1.7218,0.8559
2002-09,2002,9,Nordeste,Pernambuco,1.749,1.0224
2002-09,2002,9,Nordeste,Piaui,1.6704,1.1869
2002-09,2002,9,Sudeste,Rio De Janeiro,1.7175,0.9559
2002-09,2002,9,Nordeste,Rio Grande Do Norte,1.7352,1.0338
2002-09,2002,9,Sul,Rio Grande Do Sul,1.8554,1.092
2002-09,2002,9,Norte,Rondonia,2.0534,1.2527
2002-09,2002,9,Norte,Roraima,1.729,1.3467
2002-09,2002,9,Sul,Santa Catarina,1.823,1.0558
2002-09,2002,9,Sudeste,Sao Paulo,1.7112,0.7958
2002-09,2002,9,Nordeste,Sergipe,1.6564,1.0655
2002-09,2002,9,Norte,Tocantins,1.8305,1.1694
2002-10,2002,10,Norte,Acre,1.991,1.3407
2002-10,2002,10,Nordeste,Alagoas,1.8327,1.0216
2002-10,2002,10,Norte,Amapa,1.8922,1.3543
2002-10,2002,10,Norte,Amazonas,1.7098,1.186
2002-10,2002,10,Nordeste,Bahia,1.8628,1.1486
2002-10,2002,10,Nordeste,Ceara,1.7304,1.1042
2002-10,2002,10,Centro Oeste,Distrito Federal,1.7798,1.2469
2002-10,2002,10,Sudeste,Espirito Santo,1.8546,1.0651
2002-10,2002,10,Centro Oeste,Goias,1.7885,1.0209
2002-10,2002,10,Nordeste,Maranhao,1.8268,1.1959
2002-10,2002,10,Centro Oeste,Mato Grosso,1.9227,1.1902
2002-10,2002,10,Centro Oeste,Mato Grosso Do Sul,1.7749,1.0555
2002-10,2002,10,Sudeste,Minas Gerais,1.6885,1.015
2002-10,2002,10,Norte,Para,1.9024,1.299
2002-10,2002,10,Nordeste,Paraiba,1.7931,1.0414
2002-10,2002,10,Sul,Parana,1.7567,0.9464
2002-10,2002,10,Nordeste,Pernambuco,1.7564,1.0151
2002-10,2002,10,Nordeste,Piaui,1.698,1.1911
2002-10,2002,10,Sudeste,Rio De Janeiro,1.7316,1.0423
2002-10,2002,10,Nordeste,Rio Grande Do Norte,1.7717,1.0476
2002-10,2002,10,Sul,Rio Grande Do Sul,1.8727,1.1743
2002-10,2002,10,Norte,Rondonia,2.0392,1.252
2002-10,2002,10,Norte,Roraima,1.6711,1.346
2002-10,2002,10,Sul,Santa Catarina,1.8284,1.0995
2002-10,2002,10,Sudeste,Sao Paulo,1.7215,0.8975
2002-10,2002,10,Nordeste,Sergipe,1.6651,1.0869
2002-10,2002,10,Norte,Tocantins,1.8417,1.1841
