Quartos,Banheiros,Suites,Vagas,Elevador,Mobiliado,Piscina,Regiao,Ano,Valor
3,1,0,2,Nao,Nao,Sim,Centro,2019,3500
3,2,1,3,Nao,Nao,Nao,Centro,2016,4500
1,1,0,0,Nao,Nao,Nao,Centro,1999,1200
2,1,0,1,Nao,Nao,Nao,Centro,2014,3000
1,1,0,0,Nao,Nao,Nao,Centro,2001,1350
3,2,1,1,Nao,Nao,Nao,Centro,2011,2800
3,2,1,1,Nao,Nao,Nao,Centro,2016,3000
1,1,0,1,Nao,Nao,Nao,Centro,2003,1400
2,2,1,1,Nao,Nao,Nao,Centro,2012,2000
1,1,0,0,Sim,Nao,Nao,Centro,2004,1200
2,1,0,0,Nao,Sim,Nao,Centro,2019,3500
3,2,1,2,Nao,Nao,Nao,Centro,2021,5000
1,2,1,1,Nao,Sim,Sim,Centro,2016,2800
1,1,0,1,Sim,Nao,Sim,Centro,2010,2100
1,2,1,1,Nao,Nao,Nao,Centro,2004,1750
3,2,1,2,Nao,Nao,Nao,Centro,2020,4500
1,1,0,1,Nao,Sim,Sim,Centro,2016,3100
1,1,0,1,Nao,Sim,Sim,Centro,2016,3100
1,2,1,1,Nao,Sim,Sim,Centro,2015,3900
2,1,0,0,Nao,Nao,Nao,Centro,2004,1200
2,1,0,1,Nao,Nao,Nao,Centro,2014,2800
1,2,1,1,Nao,Sim,Sim,Centro,2014,3700
3,2,1,1,Nao,Nao,Sim,Centro,2016,4900
2,1,0,1,Nao,Nao,Nao,Centro,2008,1850
2,1,0,1,Nao,Sim,Nao,Centro,2013,2660
1,1,0,1,Nao,Sim,Nao,Centro,2013,2700
1,1,0,1,Sim,Nao,Nao,Centro,2007,1600
1,2,1,1,Nao,Sim,Sim,Centro,2012,3100
1,1,0,1,Nao,Sim,Sim,Centro,2013,2600
1,2,1,1,Nao,Sim,Sim,Centro,2018,3400
3,2,1,2,Sim,Nao,Nao,Centro,2017,3500
3,2,1,1,Nao,Nao,Sim,Centro,2013,3520
1,1,0,0,Sim,Nao,Nao,Centro,2003,1600
1,1,0,0,Sim,Sim,Nao,Centro,2006,1300
1,1,0,0,Nao,Nao,Nao,Centro,1998,1100
1,1,0,1,Nao,Nao,Nao,Centro,2004,1750
1,2,1,1,Nao,Nao,Sim,Centro,2014,3100
1,1,0,1,Nao,Nao,Nao,Centro,2009,1650
1,1,0,0,Nao,Nao,Nao,Centro,2005,1617
3,2,1,2,Nao,Sim,Sim,Centro,2017,4500
3,1,0,0,Nao,Nao,Nao,Centro,2010,2800
2,1,0,1,Nao,Nao,Nao,Centro,1998,1000
2,1,0,1,Nao,Nao,Nao,Centro,2008,2000
3,1,0,1,Nao,Nao,Nao,Centro,2008,2500
1,1,0,1,Nao,Nao,Nao,Centro,2000,1200
2,1,0,0,Nao,Nao,Nao,Centro,2003,1250
3,2,1,2,Nao,Nao,Sim,Centro,2012,2900
3,1,0,1,Sim,Nao,Nao,Centro,2014,2500
3,2,1,2,Nao,Nao,Nao,Centro,2012,3000
2,1,0,0,Nao,Nao,Nao,Centro,2001,1450
2,1,0,0,Nao,Nao,Nao,Centro,2010,2200
4,2,1,2,Sim,Nao,Nao,Centro,2014,2500
3,2,1,1,Nao,Nao,Nao,Centro,2008,2500
2,1,0,0,Nao,Nao,Nao,Centro,2003,1300
2,1,0,0,Nao,Nao,Nao,Centro,2007,2000
1,1,0,0,Nao,Nao,Nao,Centro,2000,1300
3,2,1,1,Nao,Nao,Nao,Centro,2014,2500
2,1,0,0,Nao,Nao,Nao,Centro,2012,1900
2,1,0,1,Sim,Nao,Nao,Centro,2007,1500
3,2,1,2,Nao,Nao,Sim,Centro,2012,2500
3,2,1,2,Nao,Nao,Sim,Centro,2010,2400
3,2,1,1,Sim,Nao,Nao,Centro,2012,2600
2,1,0,1,Nao,Nao,Nao,Centro,2007,1500
2,1,0,1,Nao,Nao,Nao,Centro,2005,1600
2,1,0,1,Sim,Nao,Nao,Centro,2006,1700
4,2,1,2,Nao,Nao,Nao,Centro,2008,2500
2,2,1,1,Sim,Nao,Nao,Centro,2007,1800
2,1,0,1,Sim,Nao,Sim,Centro,2008,1700
2,1,0,1,Sim,Nao,Nao,Centro,2008,1500
3,2,1,1,Nao,Nao,Nao,Centro,2012,2200
2,1,0,0,Nao,Nao,Nao,Centro,2005,1650
3,2,1,1,Nao,Nao,Nao,Centro,2008,2500
3,2,1,1,Nao,Nao,Nao,Centro,2012,2500
3,2,1,2,Nao,Nao,Sim,Centro,2009,2400
3,2,1,1,Sim,Nao,Nao,Centro,2014,2500
2,1,0,1,Nao,Nao,Nao,Centro,2009,1600
3,3,2,2,Sim,Nao,Sim,Centro,2017,3200
1,1,0,0,Nao,Sim,Nao,Centro,2011,1839
1,2,1,1,Nao,Nao,Sim,Centro,2013,3000
2,2,1,1,Sim,Nao,Sim,Centro,2017,5500
1,2,1,2,Nao,Nao,Sim,Centro,2015,2500
1,1,0,0,Nao,Sim,Nao,Centro,2013,2200
1,2,1,1,Nao,Sim,Sim,Centro,2012,3100
1,1,0,1,Nao,Nao,Nao,Centro,2006,1850
1,1,0,1,Nao,Sim,Sim,Centro,2015,3300
1,1,0,1,Nao,Nao,Sim,Centro,2016,3200
2,2,1,1,Nao,Nao,Nao,Centro,2016,4000
1,2,1,1,Sim,Sim,Sim,Centro,2009,1600
2,2,1,1,Nao,Sim,Sim,Centro,2022,5000
3,5,1,1,Sim,Nao,Nao,Centro,2015,4500
2,1,0,1,Nao,Nao,Nao,Centro,2012,2600
1,1,0,0,Nao,Nao,Nao,Centro,2011,2200
1,1,0,0,Nao,Nao,Nao,Centro,1999,1000
1,1,0,1,Nao,Sim,Sim,Centro,2019,3900
1,1,0,1,Nao,Nao,Sim,Centro,2011,2100
1,1,0,1,Sim,Sim,Sim,Centro,2015,2500
3,3,0,1,Nao,Nao,Nao,Centro,2021,4500
2,1,0,1,Nao,Nao,Nao,Centro,2013,2500
1,1,0,1,Nao,Nao,Sim,Centro,2014,2300
1,2,1,1,Sim,Sim,Sim,Centro,2007,1800
2,1,0,0,Sim,Nao,Nao,Centro,2012,2400
1,2,1,1,Nao,Sim,Sim,Centro,2014,3000
1,2,1,1,Nao,Sim,Sim,Centro,2018,3900
1,1,0,1,Nao,Sim,Sim,Centro,2016,2800
1,1,0,1,Nao,Sim,Sim,Centro,2013,3100
1,1,0,1,Nao,Sim,Sim,Centro,2013,3000
1,1,0,1,Nao,Nao,Sim,Centro,2017,3300
2,1,0,1,Nao,Nao,Sim,Centro,2013,2900
3,1,0,0,Nao,Nao,Nao,Centro,2014,3600
1,1,0,1,Nao,Nao,Nao,Centro,2005,1700
1,1,0,1,Nao,Sim,Nao,Centro,2017,3700
1,1,0,1,Nao,Nao,Nao,Centro,2005,1400
1,1,0,1,Nao,Sim,Nao,Centro,2007,2150
2,1,0,1,Sim,Sim,Sim,Centro,2020,5000
1,1,0,1,Nao,Nao,Sim,Centro,2017,3500
3,2,1,0,Nao,Nao,Nao,Centro,2016,3600
2,2,1,2,Nao,Nao,Sim,Centro,2019,5000
1,2,1,1,Nao,Sim,Sim,Centro,2015,3200
1,1,0,1,Nao,Nao,Sim,Centro,2009,2000
3,2,1,1,Nao,Nao,Nao,Centro,2015,3200
1,1,0,1,Nao,Nao,Nao,Centro,2012,2100
1,1,0,1,Nao,Nao,Sim,Centro,2011,2000
2,1,0,1,Sim,Nao,Sim,Centro,2016,4000
2,1,0,1,Nao,Sim,Sim,Centro,2017,5000
3,2,1,1,Sim,Nao,Nao,Centro,2020,4200
2,3,2,2,Nao,Nao,Sim,Centro,2018,4400
2,1,0,1,Nao,Nao,Nao,Centro,2005,1900
1,1,0,1,Nao,Nao,Sim,Centro,2011,1900
1,1,0,1,Nao,Nao,Sim,Centro,2015,2700
1,1,0,0,Nao,Nao,Nao,Centro,2005,1800
2,1,0,1,Sim,Nao,Nao,Centro,2001,1400
1,2,1,1,Nao,Sim,Sim,Centro,2014,4000
1,1,0,0,Nao,Nao,Nao,Centro,2006,1700
1,2,1,1,Nao,Sim,Sim,Centro,2014,2500
1,1,0,0,Nao,Nao,Nao,Centro,2007,2200
2,1,0,0,Nao,Nao,Nao,Centro,2011,2450
3,3,2,1,Nao,Nao,Nao,Centro,2015,3000
1,2,0,1,Nao,Nao,Nao,Centro,2006,2000
3,2,1,1,Sim,Nao,Nao,Centro,2012,2900
1,1,0,0,Nao,Nao,Nao,Centro,2006,1400
2,1,0,1,Sim,Nao,Nao,Centro,2005,1300
2,1,0,0,Nao,Nao,Nao,Centro,2004,1550
2,1,0,0,Nao,Nao,Nao,Centro,1998,1200
3,2,1,1,Nao,Nao,Nao,Centro,2014,2500
1,1,0,1,Nao,Nao,Nao,Centro,2008,1700
1,1,0,1,Nao,Nao,Sim,Centro,2009,2500
3,2,1,2,Sim,Nao,Sim,Centro,2007,1800
2,1,0,1,Nao,Nao,Nao,Centro,2005,1750
1,1,0,0,Nao,Nao,Nao,Centro,2006,1600
3,2,1,1,Sim,Nao,Nao,Centro,2016,2900
2,1,0,0,Nao,Nao,Nao,Centro,2006,1700
1,1,0,0,Nao,Nao,Nao,Centro,2009,1700
3,2,1,1,Nao,Nao,Nao,Centro,2010,2800
1,1,0,1,Nao,Sim,Sim,Centro,2012,2500
1,1,0,1,Sim,Nao,Nao,Centro,2006,2000
1,1,0,1,Sim,Nao,Nao,Centro,2007,1500
1,1,0,1,Nao,Sim,Sim,Centro,2003,1650
3,1,0,2,Nao,Nao,Nao,Centro,2014,3800
3,2,1,2,Nao,Nao,Nao,Centro,2013,2800
1,1,0,1,Nao,Nao,Nao,Centro,2007,1700
3,2,1,2,Sim,Nao,Nao,Centro,2019,3900
1,1,0,0,Nao,Nao,Nao,Centro,2006,1400
3,4,3,2,Nao,Nao,Nao,Centro,2017,5000
3,1,0,1,Nao,Nao,Nao,Centro,2009,2220
2,1,0,1,Nao,Nao,Nao,Centro,2002,1500
1,1,0,1,Sim,Nao,Nao,Centro,2014,2700
1,1,0,0,Nao,Nao,Nao,Centro,1998,1200
1,1,0,0,Nao,Nao,Nao,Centro,2003,1600
1,1,0,1,Sim,Sim,Sim,Centro,2007,1900
1,1,0,1,Sim,Nao,Nao,Centro,2010,2700
1,1,0,0,Nao,Sim,Nao,Centro,2003,1500
1,1,0,1,Nao,Nao,Sim,Centro,2004,1600
1,1,0,0,Nao,Nao,Nao,Centro,2000,1100
2,1,0,2,Nao,Nao,Nao,Centro,2016,3000
3,2,1,1,Nao,Nao,Sim,Centro,2009,1600
1,1,0,1,Nao,Nao,Nao,Centro,2002,1200
1,1,0,1,Nao,Nao,Nao,Centro,2005,1800
2,1,0,0,Sim,Nao,Nao,Centro,2003,1600
3,1,0,1,Sim,Nao,Nao,Centro,2010,2300
2,1,0,1,Nao,Sim,Nao,Centro,2021,5000
2,1,0,1,Sim,Nao,Sim,Centro,2013,3500
1,1,0,1,Nao,Sim,Nao,Centro,2004,1400
1,2,0,1,Nao,Nao,Nao,Centro,2010,2200
1,2,1,1,Nao,Nao,Sim,Centro,2008,2050
3,3,1,3,Sim,Sim,Sim,Centro,2021,4900
2,1,0,1,Sim,Sim,Sim,Centro,2010,1700
2,2,0,1,Nao,Nao,Nao,Centro,2015,3500
2,2,1,1,Nao,Sim,Nao,Centro,2014,2450
2,1,0,1,Nao,Nao,Nao,Centro,2004,1500
1,1,0,0,Nao,Nao,Nao,Centro,2004,1500
1,1,0,1,Nao,Nao,Nao,Centro,2003,1600
1,1,0,0,Nao,Nao,Nao,Centro,2006,1300
2,1,0,2,Nao,Sim,Nao,Centro,2017,3300
3,2,1,1,Nao,Sim,Nao,Centro,2020,5200
1,1,0,1,Nao,Nao,Nao,Centro,2004,1400
1,1,0,1,Nao,Nao,Nao,Centro,2002,1480
1,1,0,1,Nao,Nao,Nao,Centro,2009,1700
2,1,0,0,Sim,Nao,Nao,Centro,2016,3000
2,2,1,1,Sim,Nao,Nao,Centro,2013,3000
2,1,0,0,Sim,Nao,Nao,Centro,2012,2000
2,1,0,0,Nao,Nao,Sim,Centro,2009,2600
3,1,0,1,Sim,Nao,Nao,Centro,2005,1800
1,1,0,0,Nao,Nao,Sim,Centro,2010,2100
2,1,0,0,Nao,Nao,Nao,Centro,2003,1400
3,2,1,0,Sim,Nao,Nao,Centro,2018,3800
1,2,1,1,Nao,Sim,Nao,Centro,2008,1700
1,2,1,1,Sim,Nao,Sim,Centro,2006,1700
1,2,1,1,Nao,Nao,Nao,Centro,2012,2500
2,1,0,1,Nao,Nao,Sim,Centro,2009,2000
1,1,0,0,Nao,Nao,Nao,Centro,1999,1100
1,1,0,0,Nao,Nao,Nao,Centro,2000,1100
1,1,0,0,Nao,Nao,Nao,Centro,2000,1200
2,1,0,1,Sim,Nao,Nao,Centro,2010,2500
1,1,0,1,Nao,Nao,Sim,Centro,2016,4000
1,1,0,1,Nao,Sim,Sim,Centro,2015,2500
1,1,0,0,Nao,Nao,Nao,Centro,2001,1200
1,1,0,0,Nao,Nao,Nao,Centro,2002,1300
2,1,0,0,Nao,Nao,Nao,Centro,2008,1550
1,1,0,1,Nao,Nao,Nao,Centro,2009,2000
1,1,0,1,Nao,Sim,Nao,Centro,2006,2000
1,1,0,1,Sim,Nao,Sim,Centro,2005,1850
2,1,0,0,Nao,Nao,Nao,Centro,2005,1300
1,1,0,1,Nao,Nao,Nao,Centro,1998,1000
1,1,0,1,Nao,Nao,Nao,Centro,1998,1000
2,2,0,1,Nao,Nao,Nao,Centro,2012,2800
1,2,1,1,Sim,Sim,Sim,Centro,2012,2500
1,1,0,1,Sim,Nao,Nao,Centro,2007,2200
2,1,0,1,Nao,Nao,Nao,Centro,2010,2800
1,1,0,1,Nao,Nao,Sim,Centro,2004,1600
1,1,0,0,Nao,Nao,Nao,Centro,2005,1250
1,1,0,1,Sim,Sim,Sim,Centro,2015,2500
1,1,0,0,Nao,Nao,Nao,Centro,2000,800
1,1,0,0,Nao,Nao,Nao,Centro,1998,1100
3,2,1,2,Nao,Nao,Nao,Centro,2016,4000
2,1,0,1,Nao,Sim,Sim,Centro,2016,2800
2,1,0,1,Nao,Nao,Nao,Centro,2010,2200
3,2,1,1,Nao,Nao,Nao,Centro,2010,2500
1,2,1,1,Sim,Nao,Sim,Centro,2004,1700
1,1,0,1,Nao,Nao,Sim,Centro,2013,2750
3,2,1,0,Nao,Nao,Nao,Centro,2012,2500
1,1,0,1,Nao,Sim,Nao,Centro,2014,4000
1,1,0,0,Nao,Sim,Nao,Centro,2004,1600
1,1,0,1,Nao,Sim,Nao,Centro,2004,1690
2,3,2,1,Nao,Sim,Sim,Centro,2017,3320
1,1,0,1,Nao,Nao,Nao,Centro,2002,1300
2,1,0,0,Nao,Sim,Nao,Centro,2013,2600
1,2,1,1,Nao,Nao,Sim,Centro,2014,2700
1,1,0,1,Nao,Nao,Nao,Centro,2006,1650
1,1,0,1,Nao,Nao,Nao,Centro,2010,1700
1,2,1,0,Nao,Nao,Sim,Centro,2010,2700
1,2,1,1,Nao,Nao,Sim,Centro,2007,2250
3,2,1,2,Nao,Nao,Nao,Centro,2016,4000
3,2,1,1,Nao,Nao,Nao,Centro,2016,4000
1,1,0,0,Nao,Sim,Nao,Centro,2011,2600
1,2,1,0,Nao,Nao,Sim,Centro,2005,1500
1,1,0,0,Nao,Sim,Nao,Centro,2016,2990
1,1,0,1,Sim,Sim,Sim,Centro,2008,2300
1,1,0,1,Nao,Nao,Nao,Centro,2009,2000
2,2,1,2,Sim,Nao,Sim,Centro,2014,3200
1,1,0,0,Nao,Nao,Nao,Centro,2002,1550
3,2,1,2,Nao,Nao,Nao,Centro,2014,3000
2,2,1,1,Nao,Nao,Nao,Centro,2015,2800
4,2,1,3,Nao,Nao,Nao,Centro,2019,5000
1,1,0,0,Nao,Nao,Nao,Centro,2004,1300
1,1,0,1,Nao,Sim,Sim,Centro,2014,3500
2,2,0,1,Sim,Nao,Nao,Centro,2021,5000
3,2,1,2,Nao,Nao,Nao,Centro,2013,3800
3,2,1,2,Sim,Nao,Sim,Centro,2010,2250
1,1,0,1,Nao,Nao,Nao,Centro,2003,1600
1,2,1,1,Nao,Nao,Nao,Centro,2008,1800
3,2,1,1,Nao,Sim,Nao,Centro,2016,4500
3,1,0,4,Nao,Sim,Nao,Centro,2021,4800
1,1,0,1,Nao,Nao,Sim,Centro,2010,2600
1,2,1,1,Nao,Nao,Nao,Centro,2011,2700
1,1,0,1,Nao,Nao,Sim,Centro,2007,1500
3,2,1,2,Nao,Nao,Nao,Centro,2011,2500
1,1,0,1,Nao,Sim,Nao,Centro,2004,1400
1,1,0,0,Nao,Nao,Nao,Centro,1998,1000
2,1,0,0,Sim,Nao,Nao,Centro,1999,1000
2,1,0,0,Nao,Nao,Nao,Centro,1998,1200
2,1,0,1,Nao,Nao,Nao,Centro,2003,1400
1,1,0,0,Nao,Sim,Nao,Centro,2002,1500
1,1,0,0,Nao,Nao,Nao,Centro,2004,1290
1,1,0,1,Nao,Nao,Nao,Centro,2006,1500
1,1,0,0,Nao,Nao,Nao,Centro,1998,850
1,1,0,1,Nao,Nao,Nao,Centro,2010,1750
3,2,1,1,Nao,Nao,Nao,Centro,2009,2200
3,4,3,3,Nao,Nao,Sim,Centro,2014,4000
1,1,0,1,Nao,Nao,Nao,Centro,1999,1250
3,1,0,2,Nao,Nao,Sim,Centro,2011,2500
1,1,0,1,Nao,Nao,Nao,Centro,1998,940
2,1,0,1,Nao,Nao,Sim,Centro,2012,2800
2,2,1,1,Nao,Nao,Nao,Centro,2006,1450
2,1,0,1,Nao,Nao,Sim,Centro,2016,2800
1,1,0,1,Nao,Nao,Nao,Centro,2004,1300
3,2,0,0,Nao,Nao,Nao,Centro,2011,2000
1,1,0,1,Nao,Nao,Nao,Centro,2009,1700
2,1,0,1,Nao,Nao,Nao,Centro,2008,1600
1,1,0,0,Nao,Nao,Nao,Centro,2004,1200
2,1,0,1,Nao,Nao,Sim,Centro,2010,2000
2,1,0,1,Nao,Nao,Nao,Centro,2003,1450
3,2,1,2,Nao,Nao,Sim,Centro,2013,2500
1,1,0,1,Nao,Nao,Sim,Centro,2006,1800
2,1,0,1,Nao,Nao,Nao,Centro,2005,1600
1,1,0,0,Nao,Nao,Nao,Centro,2001,1400
2,2,1,2,Nao,Nao,Sim,Centro,2014,2700
2,1,0,1,Nao,Nao,Nao,Centro,2013,2500
2,1,0,1,Nao,Nao,Sim,Centro,2008,2500
2,1,0,1,Nao,Nao,Nao,Centro,2005,1500
3,2,1,2,Nao,Nao,Sim,Centro,2014,2500
1,1,0,1,Nao,Nao,Nao,Centro,2001,1400
2,1,0,2,Nao,Nao,Nao,Centro,2008,1800
2,1,0,1,Nao,Nao,Nao,Centro,2008,1900
2,1,0,1,Sim,Nao,Nao,Centro,2007,1600
1,1,0,1,Nao,Nao,Nao,Centro,1999,1100
2,2,1,2,Nao,Sim,Nao,Centro,2013,2600
3,2,1,2,Nao,Nao,Nao,Centro,2016,4000
1,1,0,0,Nao,Nao,Nao,Centro,2002,1500
1,1,0,0,Sim,Nao,Nao,Centro,1998,630
2,2,1,1,Nao,Nao,Sim,Centro,2007,1800
2,2,1,2,Nao,Nao,Sim,Centro,2010,2000
2,2,1,2,Nao,Nao,Sim,Centro,2010,1800
1,1,0,0,Nao,Sim,Nao,Centro,2018,4000
1,1,0,1,Nao,Nao,Nao,Centro,2004,1200
2,2,1,2,Sim,Nao,Sim,Centro,2018,4000
2,1,0,1,Nao,Nao,Nao,Centro,2008,1600
2,1,0,1,Nao,Nao,Sim,Centro,2010,2500
1,1,0,1,Sim,Nao,Nao,Centro,2007,1690
2,1,0,1,Nao,Nao,Nao,Centro,2003,1600
2,2,1,2,Nao,Nao,Sim,Centro,2018,4000
1,1,0,0,Sim,Nao,Nao,Centro,2004,1350
2,2,1,1,Nao,Nao,Sim,Centro,2007,2100
1,1,0,1,Nao,Nao,Nao,Centro,2008,1600
1,1,0,1,Nao,Sim,Nao,Centro,2008,1750
1,2,1,1,Sim,Sim,Nao,Centro,2013,2000
1,2,1,1,Nao,Sim,Nao,Centro,2015,3500
2,2,1,1,Sim,Nao,Nao,Centro,2005,1500
1,2,1,1,Sim,Nao,Nao,Centro,2006,1900
1,2,1,1,Sim,Nao,Sim,Centro,2011,2499
2,2,1,1,Sim,Sim,Sim,Centro,2022,5000
2,2,1,1,Sim,Nao,Nao,Centro,2005,1400
3,2,1,1,Sim,Nao,Sim,Centro,2018,4000
1,2,1,1,Nao,Nao,Sim,Centro,2014,2500
3,2,1,1,Sim,Sim,Nao,Centro,2015,4500
2,2,1,2,Sim,Nao,Nao,Centro,2013,3000
4,3,2,2,Sim,Sim,Nao,Centro,2016,4300
3,2,1,2,Nao,Nao,Nao,Centro,2013,3500
1,2,1,1,Nao,Nao,Sim,Centro,2008,2100
3,2,1,1,Sim,Nao,Nao,Centro,2019,3700
3,3,1,1,Sim,Nao,Nao,Centro,2022,5500
1,2,1,1,Sim,Nao,Nao,Centro,2003,1500
3,2,1,3,Sim,Nao,Nao,Centro,2016,4000
3,2,1,1,Sim,Nao,Nao,Centro,2017,3200
3,2,1,1,Sim,Nao,Nao,Centro,2011,2800
2,3,2,1,Nao,Sim,Sim,Centro,2013,2005
2,2,1,2,Nao,Nao,Nao,Centro,2019,3900
1,2,1,1,Sim,Nao,Nao,Centro,2007,1400
3,2,1,1,Sim,Nao,Sim,Centro,2004,1600
3,2,1,1,Sim,Nao,Sim,Centro,2013,2100
2,2,1,1,Sim,Nao,Nao,Centro,2004,1500
1,2,1,1,Sim,Nao,Nao,Centro,1998,1000
3,2,1,1,Sim,Nao,Nao,Centro,2013,3300
3,3,1,1,Nao,Nao,Nao,Centro,2009,2500
2,2,1,1,Sim,Sim,Nao,Centro,2005,1900
1,2,1,2,Nao,Nao,Nao,Centro,2007,2200
3,2,1,2,Nao,Nao,Nao,Centro,2010,2600
3,2,1,1,Sim,Nao,Nao,Centro,2010,2500
1,2,1,1,Sim,Nao,Nao,Centro,2008,1600
2,2,1,1,Sim,Nao,Nao,Centro,2010,1700
1,2,1,1,Sim,Nao,Nao,Centro,2003,1300
3,2,1,1,Sim,Nao,Nao,Centro,2007,2000
3,2,1,2,Sim,Sim,Sim,Centro,2019,3500
3,2,1,2,Nao,Nao,Nao,Centro,2009,2400
3,2,1,1,Nao,Nao,Nao,Centro,2008,2000
