Estado_civil,Imigrante,Sexo_biologico,Idade_matricula,Estrangeiro,Necessidades_educacionais_especiais,Devedor,Taxas_matricula_em_dia,Bolsista,Taxa_desemprego,Taxa_inflacao,PIB,Curso,Periodo,Qualificacao_previa,disciplinas_primeiro_semestre_notas,disciplinas_segundo_semestre_notas,Situacao
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,12.4,0.5,1.79,Serviço Social (noturno),Noturno,Educação secundária,12.666666666666666,14.375,Graduado
Solteiro,Não,Masculino,34,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Gestão (noturno),Noturno,Educação secundária,12.4,13.428571428571429,Graduado
Solteiro,Não,Masculino,37,Não,Não,Sim,Não,Não,8.9,1.4,3.51,Tecnologias de Produção de Biocombustíveis,Diurno,Educação secundária,0.0,10.0,Desistente
Solteiro,Sim,Masculino,43,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Engenharia da computação,Diurno,11º ano de escolaridade - não concluído,0.0,0.0,Desistente
Solteiro,Não,Feminino,55,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Gestão,Diurno,Educação secundária,10.0,12.0,Desistente
Divorciado,Sim,Feminino,39,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Gestão (noturno),Noturno,Educação secundária,11.0,11.6,Graduado
Solteiro,Não,Feminino,20,Sim,Não,Sim,Não,Não,12.4,0.5,1.79,Zootecnia,Diurno,Curso de especialização tecnológica,11.666666666666666,12.0,Desistente
Solteiro,Não,Feminino,18,Não,Não,Sim,Sim,Não,12.7,3.7,-1.7,Jornalismo e Comunicação,Diurno,Educação secundária,12.75,0.0,Desistente
Solteiro,Sim,Feminino,22,Não,Não,Não,Sim,Não,8.9,1.4,3.51,Gestão,Diurno,Educação secundária,14.8,15.8,Graduado
Solteiro,Sim,Feminino,22,Não,Sim,Não,Sim,Não,11.1,0.6,2.02,Enfermagem,Diurno,Educação secundária,13.928,14.342857142857142,Graduado
Solteiro,Não,Feminino,20,Não,Não,Não,Não,Não,12.4,0.5,1.79,Jornalismo e Comunicação,Diurno,Educação secundária,13.0,13.8,Desistente
Solteiro,Não,Feminino,29,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Gestão (noturno),Noturno,Educação secundária,0.0,0.0,Desistente
Solteiro,Não,Feminino,24,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Gestão (noturno),Noturno,Educação secundária,11.5,14.333333333333334,Matriculado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,11.1,0.6,2.02,Serviço Social,Diurno,Educação secundária,11.666666666666666,13.2,Graduado
Solteiro,Sim,Feminino,22,Não,Não,Não,Sim,Sim,11.1,0.6,2.02,Enfermagem,Diurno,Educação secundária,13.516666666666666,13.771428571428572,Graduado
Solteiro,Não,Feminino,21,Não,Não,Não,Sim,Sim,12.4,0.5,1.79,Serviço Social (noturno),Noturno,Curso de especialização tecnológica,11.5,13.285714285714286,Graduado
Solteiro,Não,Feminino,19,Não,Não,Não,Sim,Sim,12.7,3.7,-1.7,Serviço Social,Diurno,Educação secundária,12.333333333333334,12.833333333333334,Graduado
Solteiro,Não,Feminino,24,Não,Não,Não,Sim,Sim,12.4,0.5,1.79,Turismo,Diurno,Educação secundária,13.666666666666666,14.166666666666666,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Sim,9.4,-0.8,-3.12,Enfermagem,Diurno,Educação secundária,11.833333333333334,11.833333333333334,Matriculado
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Sim,9.4,-0.8,-3.12,Jornalismo e Comunicação,Diurno,Educação secundária,14.0,11.0,Matriculado
Solteiro,Não,Feminino,19,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Zootecnia,Diurno,Educação secundária,14.714285714285714,15.8,Graduado
Solteiro,Não,Feminino,27,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Gestão (noturno),Noturno,Educação secundária,10.6,11.0,Desistente
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,15.5,2.8,-4.06,Enfermagem,Diurno,Educação secundária,13.044444444444444,13.595,Graduado
Casado,Não,Feminino,39,Não,Não,Não,Sim,Não,12.4,0.5,1.79,Turismo,Diurno,Educação superior - licenciatura,0.0,0.0,Desistente
Solteiro,Sim,Feminino,27,Não,Não,Não,Sim,Não,12.4,0.5,1.79,Zootecnia,Diurno,Educação superior - licenciatura (1º ciclo),13.0,12.9,Desistente
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Enfermagem,Diurno,Educação secundária,14.935,14.935,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Animação e Design Multimídia,Diurno,Educação secundária,0.0,0.0,Matriculado
Solteiro,Não,Feminino,18,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Enfermagem,Diurno,Educação secundária,13.133333333333333,12.221428571428572,Graduado
Solteiro,Não,Feminino,21,Não,Não,Não,Sim,Sim,13.9,-0.3,0.79,Serviço Social,Diurno,Curso de especialização tecnológica,12.0,12.0,Graduado
Solteiro,Sim,Masculino,19,Não,Não,Não,Sim,Sim,10.8,1.4,1.74,Animação e Design Multimídia,Diurno,Educação secundária,0.0,0.0,Matriculado
Solteiro,Sim,Masculino,19,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Design de Comunicação,Diurno,Educação secundária,11.4,10.0,Matriculado
Solteiro,Não,Masculino,24,Não,Não,Não,Sim,Não,12.7,3.7,-1.7,Design de Comunicação,Diurno,Educação secundária,0.0,0.0,Matriculado
Divorciado,Sim,Masculino,29,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Enfermagem,Diurno,Educação básica 3º ciclo (9º/10º/11º ano) ou equivalente,11.9,11.0,Desistente
Solteiro,Sim,Masculino,19,Não,Não,Não,Sim,Sim,10.8,1.4,1.74,Animação e Design Multimídia,Diurno,Educação secundária,0.0,0.0,Graduado
Solteiro,Sim,Masculino,23,Não,Não,Não,Sim,Não,8.9,1.4,3.51,Agronomia,Diurno,Curso de especialização tecnológica,12.571428571428571,12.428571428571429,Graduado
Solteiro,Não,Masculino,19,Não,Não,Sim,Sim,Não,16.2,0.3,-0.92,Gestão,Diurno,Educação secundária,11.2,10.75,Desistente
Solteiro,Não,Masculino,26,Não,Não,Não,Sim,Não,12.7,3.7,-1.7,Turismo,Diurno,Educação secundária,12.0,10.8,Matriculado
Solteiro,Não,Masculino,18,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Gestão,Diurno,Educação secundária,0.0,0.0,Matriculado
Solteiro,Não,Masculino,24,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Enfermagem,Diurno,Educação secundária,11.975,13.75,Graduado
Solteiro,Sim,Masculino,19,Não,Não,Não,Sim,Não,15.5,2.8,-4.06,Animação e Design Multimídia,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Sim,Masculino,18,Não,Não,Não,Sim,Não,12.4,0.5,1.79,Turismo,Diurno,Educação secundária,11.666666666666666,12.0,Desistente
Solteiro,Sim,Masculino,18,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Jornalismo e Comunicação,Diurno,Educação secundária,12.333333333333334,12.333333333333334,Graduado
Solteiro,Sim,Masculino,18,Não,Não,Sim,Sim,Não,10.8,1.4,1.74,Gestão,Diurno,Educação secundária,10.333333333333334,10.857142857142858,Desistente
Solteiro,Sim,Masculino,21,Não,Não,Não,Sim,Sim,9.4,-0.8,-3.12,Turismo,Diurno,Educação secundária,10.5,11.0,Desistente
Solteiro,Sim,Masculino,19,Não,Não,Sim,Sim,Sim,8.9,1.4,3.51,Jornalismo e Comunicação,Diurno,Educação secundária,13.666666666666666,13.333333333333334,Graduado
Solteiro,Não,Masculino,22,Não,Não,Não,Sim,Sim,16.2,0.3,-0.92,Enfermagem,Diurno,Educação secundária,14.842857142857142,15.055555555555555,Graduado
Casado,Não,Masculino,33,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Serviço Social (noturno),Noturno,Educação secundária,12.0,11.666666666666666,Graduado
Solteiro,Sim,Masculino,20,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Educação Básica,Diurno,Educação secundária,12.2,12.2,Desistente
Solteiro,Sim,Masculino,35,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Gestão (noturno),Noturno,Educação superior - bacharelado,0.0,0.0,Desistente
Solteiro,Não,Masculino,24,Não,Não,Sim,Sim,Não,12.4,0.5,1.79,Agronomia,Diurno,Educação superior - mestrado,12.166666666666666,13.3,Desistente
Solteiro,Não,Masculino,18,Não,Não,Não,Sim,Não,12.7,3.7,-1.7,Turismo,Diurno,Educação secundária,12.0,11.333333333333334,Matriculado
Casado,Sim,Feminino,33,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Serviço Social (noturno),Noturno,Educação secundária,11.0,11.0,Graduado
Solteiro,Sim,Feminino,22,Não,Não,Não,Sim,Sim,10.8,1.4,1.74,Enfermagem,Diurno,Educação secundária,13.08,13.08,Graduado
Solteiro,Não,Feminino,25,Não,Não,Não,Sim,Sim,9.4,-0.8,-3.12,Gestão de Publicidade e Marketing,Diurno,Educação secundária,10.5,11.6,Graduado
Solteiro,Sim,Masculino,20,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Design de Comunicação,Diurno,Educação secundária,10.666666666666666,11.2,Graduado
Solteiro,Sim,Masculino,23,Não,Não,Não,Sim,Não,11.1,0.6,2.02,Gestão,Diurno,Educação secundária,14.0,13.8,Matriculado
Solteiro,Sim,Masculino,18,Não,Não,Sim,Sim,Não,15.5,2.8,-4.06,Engenharia da computação,Diurno,Educação secundária,10.0,0.0,Matriculado
Solteiro,Não,Masculino,24,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Enfermagem,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Sim,Feminino,21,Sim,Não,Não,Não,Não,8.9,1.4,3.51,Jornalismo e Comunicação,Diurno,Educação secundária,14.0,13.5,Graduado
Solteiro,Não,Feminino,26,Sim,Não,Não,Sim,Não,8.9,1.4,3.51,Zootecnia,Diurno,Educação secundária,12.0,0.0,Desistente
Casado,Não,Feminino,39,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Educação Básica,Diurno,11º ano de escolaridade - não concluído,12.666666666666666,0.0,Desistente
Casado,Não,Feminino,44,Não,Não,Não,Sim,Não,12.7,3.7,-1.7,Serviço Social (noturno),Noturno,Educação secundária,11.875,12.333333333333334,Graduado
Solteiro,Sim,Masculino,19,Sim,Não,Não,Sim,Não,13.9,-0.3,0.79,Engenharia da computação,Diurno,Educação secundária,14.0,13.25,Matriculado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,8.9,1.4,3.51,Jornalismo e Comunicação,Diurno,Educação secundária,13.666666666666666,13.333333333333334,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Sim,12.4,0.5,1.79,Enfermagem,Diurno,Educação secundária,13.75,14.47777777777778,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,12.7,3.7,-1.7,Enfermagem Veterinária,Diurno,Educação secundária,14.2,13.8,Matriculado
Solteiro,Sim,Feminino,19,Não,Não,Sim,Não,Não,13.9,-0.3,0.79,Enfermagem,Diurno,Educação secundária,11.96,0.0,Desistente
Solteiro,Não,Feminino,21,Não,Não,Não,Sim,Não,8.9,1.4,3.51,Enfermagem Veterinária,Diurno,Curso técnico superior profissional,12.875,13.4,Desistente
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Animação e Design Multimídia,Diurno,Educação secundária,0.0,0.0,Graduado
Casado,Sim,Feminino,36,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Serviço Social (noturno),Noturno,Educação secundária,0.0,0.0,Desistente
Divorciado,Não,Feminino,43,Não,Não,Não,Sim,Não,15.5,2.8,-4.06,Agronomia,Diurno,Outro - 11º ano de escolaridade,14.63157894736842,14.23076923076923,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,11.1,0.6,2.02,Educação Básica,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Não,Feminino,20,Não,Não,Sim,Sim,Não,11.1,0.6,2.02,Design de Comunicação,Diurno,Educação secundária,13.0,12.272727272727272,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Serviço Social,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,15.5,2.8,-4.06,Enfermagem Veterinária,Diurno,Educação secundária,14.2,13.25,Desistente
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,12.4,0.5,1.79,Enfermagem,Diurno,Educação secundária,13.266666666666666,12.3,Desistente
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Educação Básica,Diurno,Educação secundária,11.666666666666666,13.0,Matriculado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Serviço Social,Diurno,Educação secundária,13.857142857142858,15.0,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Sim,8.9,1.4,3.51,Gestão,Diurno,Educação secundária,13.0,11.0,Matriculado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Enfermagem Veterinária,Diurno,Educação secundária,13.4,12.8,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Jornalismo e Comunicação,Diurno,Educação secundária,12.666666666666666,12.571428571428571,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Enfermagem,Diurno,Educação secundária,12.516666666666666,12.516666666666666,Desistente
Solteiro,Não,Feminino,20,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Enfermagem,Diurno,Educação secundária,11.616666666666667,13.0,Matriculado
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Sim,7.6,2.6,0.32,Serviço Social,Diurno,Educação secundária,10.0,10.75,Matriculado
Solteiro,Não,Feminino,20,Não,Não,Não,Sim,Não,12.4,0.5,1.79,Gestão,Diurno,Educação secundária,10.333333333333334,10.666666666666666,Matriculado
Solteiro,Não,Feminino,18,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Enfermagem Veterinária,Diurno,Educação secundária,13.142857142857142,11.4,Graduado
Solteiro,Não,Feminino,18,Não,Não,Não,Sim,Não,11.1,0.6,2.02,Gestão,Diurno,Educação secundária,12.6,14.0,Graduado
Solteiro,Sim,Feminino,21,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Turismo,Diurno,Educação secundária,11.0,11.0,Desistente
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Gestão,Diurno,Educação secundária,10.8,11.25,Graduado
Solteiro,Não,Feminino,19,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Animação e Design Multimídia,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Não,Feminino,19,Não,Não,Não,Sim,Sim,9.4,-0.8,-3.12,Gestão de Publicidade e Marketing,Diurno,Educação secundária,12.8,14.2,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,15.5,2.8,-4.06,Enfermagem Veterinária,Diurno,Educação secundária,14.166666666666666,12.2,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Odontologia,Diurno,Educação secundária,12.1,0.0,Desistente
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,12.4,0.5,1.79,Enfermagem Veterinária,Diurno,Curso de especialização tecnológica,14.166666666666666,13.77777777777778,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Sim,9.4,-0.8,-3.12,Educação Básica,Diurno,Educação secundária,12.8,13.4,Matriculado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,12.4,0.5,1.79,Serviço Social,Diurno,Educação secundária,13.0,13.666666666666666,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,12.4,0.5,1.79,Enfermagem,Diurno,Educação secundária,13.467142857142855,15.011111111111113,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Sim,13.9,-0.3,0.79,Enfermagem,Diurno,Educação secundária,13.2375,13.742857142857144,Desistente
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Design de Comunicação,Diurno,Educação secundária,12.333333333333334,13.0,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,8.9,1.4,3.51,Gestão,Diurno,Educação secundária,12.4,14.6,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Enfermagem,Diurno,Educação secundária,14.0,0.0,Desistente
Solteiro,Não,Feminino,20,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Serviço Social,Diurno,Educação secundária,11.666666666666666,11.714285714285714,Graduado
Solteiro,Não,Feminino,19,Não,Não,Sim,Não,Sim,12.4,0.5,1.79,Gestão de Publicidade e Marketing,Diurno,Educação secundária,12.0,12.5,Desistente
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Gestão de Publicidade e Marketing,Diurno,Educação secundária,12.2,11.5,Graduado
Solteiro,Não,Feminino,18,Não,Não,Sim,Sim,Sim,8.9,1.4,3.51,Jornalismo e Comunicação,Diurno,Educação secundária,14.833333333333334,14.833333333333334,Graduado
Solteiro,Não,Feminino,20,Não,Não,Não,Sim,Sim,11.1,0.6,2.02,Enfermagem,Diurno,Educação secundária,13.188,12.892857142857142,Matriculado
Solteiro,Não,Feminino,18,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Enfermagem,Diurno,Educação secundária,17.125,17.5875,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Enfermagem,Diurno,Educação secundária,12.666666666666666,12.666666666666666,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Sim,12.4,0.5,1.79,Jornalismo e Comunicação,Diurno,Educação secundária,12.666666666666666,12.0,Graduado
Solteiro,Sim,Feminino,22,Não,Não,Sim,Não,Não,8.9,1.4,3.51,Gestão,Diurno,Educação secundária,0.0,0.0,Matriculado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Sim,12.4,0.5,1.79,Serviço Social,Diurno,Educação secundária,11.333333333333334,11.5,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Sim,15.5,2.8,-4.06,Enfermagem,Diurno,Educação secundária,13.605,12.33125,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Sim,9.4,-0.8,-3.12,Educação Básica,Diurno,Educação secundária,12.0,10.8,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Turismo,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Turismo,Diurno,Educação secundária,11.2,11.666666666666666,Desistente
Solteiro,Não,Feminino,18,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Gestão,Diurno,Educação secundária,13.375,14.166666666666666,Graduado
Solteiro,Não,Feminino,20,Não,Não,Não,Sim,Sim,11.1,0.6,2.02,Enfermagem,Diurno,Educação secundária,13.863333333333337,14.178571428571429,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Animação e Design Multimídia,Diurno,Educação secundária,0.0,0.0,Matriculado
Solteiro,Não,Feminino,19,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Enfermagem Veterinária,Diurno,Educação secundária,12.4,13.4,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Educação Básica,Diurno,Educação secundária,12.333333333333334,10.833333333333334,Matriculado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Educação Básica,Diurno,Educação secundária,13.333333333333334,11.8,Graduado
Solteiro,Sim,Feminino,21,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Educação Básica,Diurno,Educação secundária,12.666666666666666,10.0,Desistente
Solteiro,Não,Feminino,19,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Educação Básica,Diurno,Educação secundária,12.0,11.5,Desistente
Solteiro,Não,Feminino,18,Não,Não,Não,Sim,Sim,12.4,0.5,1.79,Gestão,Diurno,Educação secundária,10.6,11.8,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Sim,12.7,3.7,-1.7,Serviço Social,Diurno,Educação secundária,12.25,11.857142857142858,Graduado
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Serviço Social,Diurno,Educação secundária,11.0,11.833333333333334,Graduado
Solteiro,Não,Feminino,24,Não,Não,Não,Sim,Sim,11.1,0.6,2.02,Serviço Social (noturno),Noturno,Educação secundária,11.0,12.6,Graduado
Solteiro,Não,Feminino,19,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Gestão de Publicidade e Marketing,Diurno,Educação secundária,13.166666666666666,13.0,Desistente
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Sim,15.5,2.8,-4.06,Enfermagem,Diurno,Educação secundária,12.855555555555554,12.761111111111113,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,15.5,2.8,-4.06,Enfermagem,Diurno,Educação secundária,14.91875,15.355,Graduado
Solteiro,Sim,Feminino,21,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Educação Básica,Diurno,Educação secundária,11.5,11.0,Desistente
Solteiro,Não,Feminino,19,Não,Não,Não,Sim,Não,7.6,2.6,0.32,Gestão de Publicidade e Marketing,Diurno,Educação secundária,14.2,14.2,Graduado
