ID_compra,unidade,cidade,data,horario,categoria_produto,valor_unitario,quantidade,valor_total,metodo_pagamento,ID_cliente,programa_cashback,idade,avaliacao_compra,mes
10,Oswaldo Cruz,São Caetano do Sul,2022-01-04,16:41,Casa e limpeza,106.9,4,427.6,Carteira digital,1055,Sim,23,10,1
15,Parque das nações,Santo André,2022-01-04,14:42,Alimentos e bebidas,85.9,4,343.6,Cartão,9682,Não,48,10,1
20,Paulicéia,São Bernardo do Campo,2022-01-04,15:09,Casa e limpeza,195.9,1,195.9,Cartão,4825,Não,43,10,1
26,Parque das nações,Santo André,2022-01-05,12:24,Alimentos e bebidas,68.9,5,344.5,Carteira digital,1632,Sim,18,9,1
27,Parque das nações,Santo André,2022-01-05,17:37,Beleza e cuidados pessoais,67.9,5,339.5,Dinheiro,1049,Não,56,9,1
22,Oswaldo Cruz,São Caetano do Sul,2022-01-05,13:40,Casa e limpeza,122.9,1,122.9,Cartão,2291,Não,51,9,1
29,Oswaldo Cruz,São Caetano do Sul,2022-01-05,18:59,Casa e limpeza,173.0,3,519.0,Cartão,2134,Sim,39,9,1
28,Paulicéia,São Bernardo do Campo,2022-01-05,9:10,Alimentos e bebidas,56.9,5,284.5,Cartão,1955,Não,51,10,1
25,Oswaldo Cruz,São Caetano do Sul,2022-01-05,12:42,Casa e limpeza,24.9,4,99.6,Cartão,2411,Não,45,9,1
21,Parque das nações,Santo André,2022-01-05,19:58,Ferramentas e construção,143.9,3,431.70000000000005,Cartão,6284,Não,40,9,1
24,Oswaldo Cruz,São Caetano do Sul,2022-01-05,12:12,Casa e limpeza,5.9,1,5.9,Cartão,9153,Não,34,10,1
23,Parque das nações,Santo André,2022-01-05,18:49,Eletrônicos,6943.9,4,27775.6,PIX,6192,Não,36,7,1
30,Paulicéia,São Bernardo do Campo,2022-01-05,16:29,Livros,21.9,1,21.9,PIX,2269,Não,43,1,1
36,Paulicéia,São Bernardo do Campo,2022-01-06,12:49,Eletrônicos,740.9,4,2963.6,Cartão,4977,Sim,33,10,1
31,Oswaldo Cruz,São Caetano do Sul,2022-01-06,11:47,Beleza e cuidados pessoais,67.9,1,67.9,PIX,5768,Sim,35,10,1
34,Parque das nações,Santo André,2022-01-06,18:48,Alimentos e bebidas,62.9,3,188.7,Cartão,8471,Sim,35,10,1
32,Paulicéia,São Bernardo do Campo,2022-01-06,18:31,Alimentos e bebidas,13.9,4,55.6,PIX,3966,Sim,34,9,1
35,Oswaldo Cruz,São Caetano do Sul,2022-01-06,16:40,Alimentos e bebidas,41.9,3,125.69999999999999,Carteira digital,9430,Sim,18,10,1
39,Paulicéia,São Bernardo do Campo,2022-01-06,10:21,Livros,48.9,1,48.9,PIX,8319,Sim,39,9,1
38,Parque das nações,Santo André,2022-01-06,18:36,Alimentos e bebidas,62.9,2,125.8,PIX,9012,Não,45,9,1
33,Parque das nações,Santo André,2022-01-06,13:12,Casa e limpeza,164.9,3,494.70000000000005,Cartão,4240,Sim,32,10,1
37,Paulicéia,São Bernardo do Campo,2022-01-06,19:31,Eletrônicos,1754.0,3,5262.0,Cartão,7956,Não,28,9,1
42,Paulicéia,São Bernardo do Campo,2022-01-07,11:22,Beleza e cuidados pessoais,174.9,3,524.7,PIX,1777,Não,46,9,1
47,Parque das nações,Santo André,2022-01-07,18:46,Alimentos e bebidas,47.9,1,47.9,PIX,7178,Não,43,10,1
46,Oswaldo Cruz,São Caetano do Sul,2022-01-07,16:27,Ferramentas e construção,135.0,2,270.0,Cartão,7791,Não,51,10,1
40,Oswaldo Cruz,São Caetano do Sul,2022-01-07,12:11,Papelaria e escritório,7.0,2,14.0,PIX,2407,Não,46,9,1
49,Oswaldo Cruz,São Caetano do Sul,2022-01-07,16:17,Ferramentas e construção,299.9,3,899.6999999999999,Cartão,1327,Não,43,10,1
50,Oswaldo Cruz,São Caetano do Sul,2022-01-07,15:28,Alimentos e bebidas,45.9,3,137.7,PIX,2865,Não,50,8,1
45,Oswaldo Cruz,São Caetano do Sul,2022-01-07,15:10,Ferramentas e construção,264.9,5,1324.5,Cartão,9202,Não,47,9,1
41,Paulicéia,São Bernardo do Campo,2022-01-07,13:47,Beleza e cuidados pessoais,191.9,4,767.6,PIX,8968,Sim,39,10,1
48,Parque das nações,Santo André,2022-01-07,11:53,Alimentos e bebidas,31.9,1,31.9,Cartão,7021,Não,32,8,1
43,Paulicéia,São Bernardo do Campo,2022-01-07,17:29,Alimentos e bebidas,95.9,3,287.70000000000005,PIX,6087,Não,32,9,1
44,Parque das nações,Santo André,2022-01-07,18:08,Beleza e cuidados pessoais,131.9,5,659.5,Carteira digital,8747,Sim,22,1,1
52,Oswaldo Cruz,São Caetano do Sul,2022-01-08,10:59,Eletrônicos,6130.9,3,18392.699999999997,Cartão,2812,Não,50,9,1
51,Paulicéia,São Bernardo do Campo,2022-01-08,17:54,Papelaria e escritório,9.0,5,45.0,Cartão,4402,Sim,28,9,1
53,Oswaldo Cruz,São Caetano do Sul,2022-01-08,19:08,Papelaria e escritório,48.9,2,97.8,PIX,8056,Não,44,9,1
57,Paulicéia,São Bernardo do Campo,2022-01-08,12:25,Alimentos e bebidas,58.9,5,294.5,PIX,3701,Sim,37,10,1
58,Oswaldo Cruz,São Caetano do Sul,2022-01-08,16:29,Alimentos e bebidas,45.9,5,229.5,PIX,3381,Sim,39,10,1
55,Paulicéia,São Bernardo do Campo,2022-01-08,19:07,Eletrônicos,238.9,1,238.9,PIX,2648,Sim,37,9,1
54,Oswaldo Cruz,São Caetano do Sul,2022-01-08,18:32,Beleza e cuidados pessoais,220.0,5,1100.0,Cartão,9390,Não,47,10,1
56,Parque das nações,Santo André,2022-01-08,13:50,Eletrônicos,6256.9,1,6256.9,PIX,6666,Sim,32,9,1
64,Paulicéia,São Bernardo do Campo,2022-01-10,18:26,Alimentos e bebidas,68.9,1,68.9,PIX,6664,Não,35,2,1
66,Paulicéia,São Bernardo do Campo,2022-01-10,18:21,Beleza e cuidados pessoais,155.9,1,155.9,PIX,6696,Não,49,10,1
62,Oswaldo Cruz,São Caetano do Sul,2022-01-10,15:10,Beleza e cuidados pessoais,203.9,3,611.7,PIX,2147,Não,48,9,1
67,Parque das nações,Santo André,2022-01-10,15:31,Papelaria e escritório,6.9,3,20.700000000000003,Cartão,6754,Sim,40,9,1
59,Parque das nações,Santo André,2022-01-10,11:18,Alimentos e bebidas,99.9,4,399.6,PIX,6202,Não,51,10,1
65,Oswaldo Cruz,São Caetano do Sul,2022-01-10,15:42,Alimentos e bebidas,27.9,4,111.6,PIX,6081,Não,46,9,1
60,Parque das nações,Santo André,2022-01-10,13:15,Papelaria e escritório,13.9,1,13.9,PIX,2699,Não,33,8,1
69,Paulicéia,São Bernardo do Campo,2022-01-10,13:29,Casa e limpeza,73.9,5,369.5,PIX,4849,Não,41,10,1
63,Oswaldo Cruz,São Caetano do Sul,2022-01-10,15:02,Beleza e cuidados pessoais,124.9,1,124.9,Carteira digital,8537,Sim,22,9,1
70,Parque das nações,Santo André,2022-01-10,18:11,Casa e limpeza,168.9,2,337.8,Cartão,4462,Sim,39,10,1
61,Paulicéia,São Bernardo do Campo,2022-01-10,12:30,Beleza e cuidados pessoais,103.9,3,311.70000000000005,Cartão,4061,Não,41,9,1
68,Parque das nações,Santo André,2022-01-10,14:17,Alimentos e bebidas,97.9,4,391.6,PIX,1708,Sim,33,10,1
76,Parque das nações,Santo André,2022-01-11,9:05,Beleza e cuidados pessoais,231.9,4,927.6,Carteira digital,9088,Não,27,3,1
77,Parque das nações,Santo André,2022-01-11,11:05,Beleza e cuidados pessoais,197.9,4,791.6,Cartão,9494,Não,38,10,1
78,Oswaldo Cruz,São Caetano do Sul,2022-01-11,10:01,Casa e limpeza,160.9,5,804.5,PIX,6970,Sim,38,2,1
74,Paulicéia,São Bernardo do Campo,2022-01-11,10:55,Papelaria e escritório,38.9,1,38.9,PIX,9552,Não,47,10,1
79,Oswaldo Cruz,São Caetano do Sul,2022-01-11,19:46,Casa e limpeza,52.9,4,211.6,PIX,2768,Sim,32,10,1
73,Parque das nações,Santo André,2022-01-11,17:39,Papelaria e escritório,33.9,3,101.69999999999999,PIX,3575,Não,35,9,1
72,Paulicéia,São Bernardo do Campo,2022-01-11,9:53,Beleza e cuidados pessoais,179.9,5,899.5,Cartão,1374,Sim,25,10,1
75,Parque das nações,Santo André,2022-01-11,18:13,Casa e limpeza,148.9,1,148.9,Cartão,2146,Não,41,10,1
71,Paulicéia,São Bernardo do Campo,2022-01-11,18:23,Beleza e cuidados pessoais,114.9,2,229.8,PIX,3982,Não,42,10,1
88,Paulicéia,São Bernardo do Campo,2022-01-12,12:37,Beleza e cuidados pessoais,97.9,1,97.9,Cartão,9221,Não,47,9,1
82,Parque das nações,Santo André,2022-01-12,10:30,Ferramentas e construção,102.9,5,514.5,PIX,3498,Não,46,9,1
83,Parque das nações,Santo André,2022-01-12,18:31,Papelaria e escritório,30.9,2,61.8,PIX,8576,Sim,34,10,1
89,Oswaldo Cruz,São Caetano do Sul,2022-01-12,13:05,Casa e limpeza,17.9,3,53.699999999999996,Carteira digital,3242,Sim,27,9,1
85,Paulicéia,São Bernardo do Campo,2022-01-12,14:23,Alimentos e bebidas,62.9,1,62.9,Cartão,5974,Sim,33,9,1
90,Oswaldo Cruz,São Caetano do Sul,2022-01-12,13:40,Casa e limpeza,168.9,5,844.5,PIX,1772,Não,50,9,1
80,Oswaldo Cruz,São Caetano do Sul,2022-01-12,9:53,Beleza e cuidados pessoais,202.9,2,405.8,PIX,7139,Não,48,10,1
87,Paulicéia,São Bernardo do Campo,2022-01-12,19:43,Alimentos e bebidas,75.9,1,75.9,Dinheiro,1059,Não,57,9,1
81,Oswaldo Cruz,São Caetano do Sul,2022-01-12,12:01,Alimentos e bebidas,68.9,4,275.6,PIX,1094,Não,39,10,1
84,Paulicéia,São Bernardo do Campo,2022-01-12,18:50,Alimentos e bebidas,78.9,2,157.8,PIX,9588,Não,40,10,1
86,Oswaldo Cruz,São Caetano do Sul,2022-01-12,19:45,Beleza e cuidados pessoais,164.9,1,164.9,Dinheiro,4948,Não,55,10,1
97,Paulicéia,São Bernardo do Campo,2022-01-13,18:53,Alimentos e bebidas,54.9,3,164.7,PIX,8432,Sim,35,0,1
93,Oswaldo Cruz,São Caetano do Sul,2022-01-13,16:25,Eletrônicos,5873.9,1,5873.9,Cartão,3952,Sim,31,10,1
99,Parque das nações,Santo André,2022-01-13,19:48,Beleza e cuidados pessoais,214.9,1,214.9,PIX,5238,Não,45,10,1
94,Paulicéia,São Bernardo do Campo,2022-01-13,13:24,Beleza e cuidados pessoais,114.9,1,114.9,Cartão,4153,Não,38,10,1
98,Oswaldo Cruz,São Caetano do Sul,2022-01-13,18:21,Ferramentas e construção,87.9,4,351.6,Cartão,1885,Não,52,10,1
96,Parque das nações,Santo André,2022-01-13,17:26,Alimentos e bebidas,48.9,3,146.7,Cartão,2686,Sim,34,10,1
92,Oswaldo Cruz,São Caetano do Sul,2022-01-13,16:28,Ferramentas e construção,52.9,2,105.8,Carteira digital,3320,Sim,24,8,1
91,Oswaldo Cruz,São Caetano do Sul,2022-01-13,9:08,Casa e limpeza,150.9,1,150.9,PIX,7183,Sim,36,10,1
95,Paulicéia,São Bernardo do Campo,2022-01-13,16:11,Beleza e cuidados pessoais,240.9,3,722.7,Cartão,3183,Não,51,9,1
106,Parque das nações,Santo André,2022-01-14,14:05,Alimentos e bebidas,92.0,4,368.0,PIX,9154,Sim,39,10,1
107,Paulicéia,São Bernardo do Campo,2022-01-14,11:21,Papelaria e escritório,49.9,4,199.6,Cartão,7553,Sim,26,9,1
108,Parque das nações,Santo André,2022-01-14,14:30,Livros,87.9,5,439.5,Cartão,6447,Sim,35,10,1
102,Paulicéia,São Bernardo do Campo,2022-01-14,18:21,Papelaria e escritório,45.9,5,229.5,Cartão,3897,Sim,40,9,1
101,Oswaldo Cruz,São Caetano do Sul,2022-01-14,16:49,Beleza e cuidados pessoais,242.9,4,971.6,PIX,4420,Sim,39,9,1
105,Parque das nações,Santo André,2022-01-14,17:58,Beleza e cuidados pessoais,235.9,3,707.7,Carteira digital,5964,Não,19,9,1
111,Paulicéia,São Bernardo do Campo,2022-01-14,13:38,Alimentos e bebidas,34.9,2,69.8,Cartão,5602,Não,23,10,1
109,Paulicéia,São Bernardo do Campo,2022-01-14,13:46,Beleza e cuidados pessoais,53.9,2,107.8,Carteira digital,4421,Sim,28,9,1
103,Parque das nações,Santo André,2022-01-14,16:56,Livros,108.9,4,435.6,Cartão,6010,Sim,35,10,1
110,Oswaldo Cruz,São Caetano do Sul,2022-01-14,17:04,Eletrônicos,6853.9,4,27415.6,Carteira digital,5354,Sim,28,10,1
104,Oswaldo Cruz,São Caetano do Sul,2022-01-14,10:35,Alimentos e bebidas,99.9,3,299.70000000000005,Cartão,5465,Não,26,10,1
100,Paulicéia,São Bernardo do Campo,2022-01-14,12:59,Eletrônicos,2251.9,1,2251.9,PIX,3289,Sim,39,10,1
120,Oswaldo Cruz,São Caetano do Sul,2022-01-15,19:53,Eletrônicos,1684.9,3,5054.700000000001,Cartão,8299,Não,42,9,1
114,Paulicéia,São Bernardo do Campo,2022-01-15,18:44,Eletrônicos,7316.9,4,29267.6,PIX,3823,Não,45,10,1
116,Oswaldo Cruz,São Caetano do Sul,2022-01-15,16:03,Alimentos e bebidas,7.9,4,31.6,Cartão,7459,Não,33,10,1
118,Parque das nações,Santo André,2022-01-15,9:22,Papelaria e escritório,18.9,3,56.699999999999996,Cartão,3890,Sim,26,10,1
119,Oswaldo Cruz,São Caetano do Sul,2022-01-15,17:49,Papelaria e escritório,2.9,4,11.6,PIX,7813,Não,50,9,1
121,Parque das nações,Santo André,2022-01-15,11:59,Eletrônicos,6422.9,2,12845.8,Cartão,7813,Não,50,10,1
117,Oswaldo Cruz,São Caetano do Sul,2022-01-15,16:39,Casa e limpeza,117.9,5,589.5,Cartão,2995,Não,54,10,1
113,Oswaldo Cruz,São Caetano do Sul,2022-01-15,16:46,Casa e limpeza,40.9,4,163.6,Cartão,1338,Não,31,6,1
115,Parque das nações,Santo André,2022-01-15,10:03,Beleza e cuidados pessoais,63.9,5,319.5,PIX,9165,Sim,36,9,1
112,Parque das nações,Santo André,2022-01-15,12:28,Beleza e cuidados pessoais,138.9,5,694.5,PIX,9768,Não,41,10,1
131,Paulicéia,São Bernardo do Campo,2022-01-17,11:40,Casa e limpeza,84.9,5,424.5,Dinheiro,5222,Não,56,10,1
127,Parque das nações,Santo André,2022-01-17,18:55,Alimentos e bebidas,65.9,1,65.9,Cartão,5247,Não,47,10,1
126,Parque das nações,Santo André,2022-01-17,18:25,Ferramentas e construção,126.9,1,126.9,Cartão,9629,Não,26,9,1
128,Oswaldo Cruz,São Caetano do Sul,2022-01-17,18:29,Alimentos e bebidas,60.9,4,243.6,Cartão,4982,Sim,33,9,1
125,Parque das nações,Santo André,2022-01-17,10:15,Papelaria e escritório,7.9,4,31.6,Cartão,3158,Sim,39,9,1
122,Parque das nações,Santo André,2022-01-17,16:33,Casa e limpeza,98.9,4,395.6,Cartão,6344,Sim,25,10,1
129,Parque das nações,Santo André,2022-01-17,18:59,Alimentos e bebidas,61.0,3,183.0,PIX,5980,Sim,37,9,1
124,Oswaldo Cruz,São Caetano do Sul,2022-01-17,15:35,Beleza e cuidados pessoais,204.9,1,204.9,Cartão,5981,Sim,29,7,1
123,Paulicéia,São Bernardo do Campo,2022-01-17,19:04,Casa e limpeza,66.9,3,200.70000000000002,Cartão,4111,Não,41,9,1
130,Oswaldo Cruz,São Caetano do Sul,2022-01-17,17:32,Eletrônicos,7581.9,2,15163.8,PIX,9074,Não,38,10,1
133,Paulicéia,São Bernardo do Campo,2022-01-18,13:31,Casa e limpeza,198.9,3,596.7,PIX,8066,Sim,40,10,1
140,Paulicéia,São Bernardo do Campo,2022-01-18,17:09,Beleza e cuidados pessoais,20.9,1,20.9,Carteira digital,6447,Sim,35,9,1
137,Parque das nações,Santo André,2022-01-18,17:53,Papelaria e escritório,35.9,2,71.8,PIX,9665,Não,50,10,1
132,Parque das nações,Santo André,2022-01-18,10:54,Eletrônicos,7708.9,1,7708.9,Cartão,8585,Sim,36,10,1
134,Paulicéia,São Bernardo do Campo,2022-01-18,18:54,Beleza e cuidados pessoais,199.9,4,799.6,Cartão,6377,Não,43,10,1
139,Paulicéia,São Bernardo do Campo,2022-01-18,19:40,Casa e limpeza,174.9,4,699.6,Carteira digital,6875,Não,29,10,1
135,Oswaldo Cruz,São Caetano do Sul,2022-01-18,13:30,Alimentos e bebidas,23.9,4,95.6,PIX,1552,Sim,39,9,1
136,Oswaldo Cruz,São Caetano do Sul,2022-01-18,12:36,Papelaria e escritório,36.9,5,184.5,PIX,8989,Sim,38,8,1
138,Paulicéia,São Bernardo do Campo,2022-01-18,12:37,Alimentos e bebidas,73.9,2,147.8,PIX,1809,Sim,39,10,1
143,Paulicéia,São Bernardo do Campo,2022-01-19,13:39,Papelaria e escritório,43.9,2,87.8,PIX,3129,Não,48,10,1
147,Parque das nações,Santo André,2022-01-19,12:23,Alimentos e bebidas,61.9,5,309.5,Dinheiro,6228,Não,57,9,1
144,Parque das nações,Santo André,2022-01-19,12:36,Eletrônicos,340.9,4,1363.6,PIX,5142,Não,44,9,1
145,Oswaldo Cruz,São Caetano do Sul,2022-01-19,17:37,Casa e limpeza,187.9,4,751.6,PIX,4230,Não,33,9,1
149,Parque das nações,Santo André,2022-01-19,18:02,Eletrônicos,7640.9,2,15281.8,PIX,8456,Não,32,10,1
141,Parque das nações,Santo André,2022-01-19,17:02,Alimentos e bebidas,24.9,1,24.9,Carteira digital,2307,Sim,26,10,1
142,Paulicéia,São Bernardo do Campo,2022-01-19,13:47,Alimentos e bebidas,52.9,5,264.5,Carteira digital,2943,Sim,21,9,1
146,Oswaldo Cruz,São Caetano do Sul,2022-01-19,17:29,Eletrônicos,7581.9,1,7581.9,Cartão,8682,Não,35,9,1
148,Paulicéia,São Bernardo do Campo,2022-01-19,13:02,Beleza e cuidados pessoais,239.9,4,959.6,PIX,1567,Não,38,10,1
157,Paulicéia,São Bernardo do Campo,2022-01-20,18:27,Alimentos e bebidas,26.0,1,26.0,Carteira digital,4158,Não,27,9,1
156,Parque das nações,Santo André,2022-01-20,15:58,Beleza e cuidados pessoais,62.9,4,251.6,Dinheiro,8280,Sim,30,10,1
155,Paulicéia,São Bernardo do Campo,2022-01-20,13:11,Casa e limpeza,76.9,5,384.5,Carteira digital,9487,Não,25,9,1
150,Oswaldo Cruz,São Caetano do Sul,2022-01-20,16:42,Alimentos e bebidas,11.9,2,23.8,Carteira digital,8016,Sim,28,9,1
158,Parque das nações,Santo André,2022-01-20,13:35,Eletrônicos,4531.0,4,18124.0,PIX,1948,Sim,32,6,1
151,Oswaldo Cruz,São Caetano do Sul,2022-01-20,13:53,Casa e limpeza,43.9,3,131.7,Cartão,9905,Sim,25,10,1
153,Parque das nações,Santo André,2022-01-20,9:35,Alimentos e bebidas,60.9,4,243.6,Dinheiro,6455,Não,58,10,1
154,Parque das nações,Santo André,2022-01-20,19:39,Beleza e cuidados pessoais,78.9,2,157.8,Cartão,6770,Sim,31,9,1
152,Parque das nações,Santo André,2022-01-20,16:21,Alimentos e bebidas,18.0,3,54.0,PIX,6064,Sim,37,10,1
167,Paulicéia,São Bernardo do Campo,2022-01-21,16:31,Eletrônicos,3504.9,3,10514.7,Dinheiro,5686,Não,60,9,1
166,Oswaldo Cruz,São Caetano do Sul,2022-01-21,13:28,Alimentos e bebidas,25.9,3,77.69999999999999,Cartão,8799,Não,45,9,1
162,Paulicéia,São Bernardo do Campo,2022-01-21,16:40,Alimentos e bebidas,7.9,3,23.700000000000003,PIX,7786,Não,49,9,1
168,Oswaldo Cruz,São Caetano do Sul,2022-01-21,13:02,Casa e limpeza,163.9,1,163.9,PIX,8925,Não,40,10,1
165,Paulicéia,São Bernardo do Campo,2022-01-21,11:55,Livros,149.9,2,299.8,PIX,4093,Não,53,3,1
159,Oswaldo Cruz,São Caetano do Sul,2022-01-21,17:15,Beleza e cuidados pessoais,171.9,5,859.5,Cartão,8145,Sim,29,9,1
164,Oswaldo Cruz,São Caetano do Sul,2022-01-21,17:53,Eletrônicos,3617.0,2,7234.0,Dinheiro,7516,Não,55,10,1
160,Paulicéia,São Bernardo do Campo,2022-01-21,16:28,Livros,59.9,1,59.9,Cartão,1210,Não,41,9,1
163,Oswaldo Cruz,São Caetano do Sul,2022-01-21,13:34,Eletrônicos,3373.0,5,16865.0,Carteira digital,4248,Sim,20,9,1
161,Paulicéia,São Bernardo do Campo,2022-01-21,19:52,Alimentos e bebidas,90.9,4,363.6,PIX,6086,Não,35,2,1
174,Parque das nações,Santo André,2022-01-22,12:08,Alimentos e bebidas,22.9,2,45.8,Dinheiro,8813,Sim,30,6,1
173,Oswaldo Cruz,São Caetano do Sul,2022-01-22,16:38,Eletrônicos,2822.9,4,11291.6,Cartão,8411,Sim,33,10,1
169,Paulicéia,São Bernardo do Campo,2022-01-22,18:11,Livros,101.0,2,202.0,Cartão,5286,Não,45,9,1
170,Paulicéia,São Bernardo do Campo,2022-01-22,14:13,Casa e limpeza,88.0,1,88.0,Dinheiro,2792,Não,60,9,1
175,Oswaldo Cruz,São Caetano do Sul,2022-01-22,14:36,Casa e limpeza,12.9,2,25.8,Cartão,9736,Não,45,9,1
171,Parque das nações,Santo André,2022-01-22,12:15,Beleza e cuidados pessoais,134.9,1,134.9,Carteira digital,3217,Não,27,10,1
172,Parque das nações,Santo André,2022-01-22,12:49,Alimentos e bebidas,14.9,4,59.6,PIX,5463,Não,45,9,1
176,Oswaldo Cruz,São Caetano do Sul,2022-01-22,13:04,Casa e limpeza,123.9,2,247.8,Cartão,4178,Não,28,9,1
181,Oswaldo Cruz,São Caetano do Sul,2022-01-24,18:53,Eletrônicos,3063.9,2,6127.8,Dinheiro,9697,Sim,30,9,1
177,Paulicéia,São Bernardo do Campo,2022-01-24,13:48,Livros,29.9,1,29.9,PIX,4079,Sim,34,9,1
183,Oswaldo Cruz,São Caetano do Sul,2022-01-24,13:34,Alimentos e bebidas,39.9,4,159.6,PIX,5768,Sim,35,10,1
180,Paulicéia,São Bernardo do Campo,2022-01-24,9:36,Eletrônicos,5682.9,1,5682.9,Cartão,3945,Não,45,9,1
182,Oswaldo Cruz,São Caetano do Sul,2022-01-24,13:47,Casa e limpeza,72.0,3,216.0,Cartão,9316,Não,42,9,1
178,Oswaldo Cruz,São Caetano do Sul,2022-01-24,17:32,Alimentos e bebidas,40.9,5,204.5,PIX,2714,Não,43,9,1
185,Oswaldo Cruz,São Caetano do Sul,2022-01-24,16:39,Papelaria e escritório,4.9,2,9.8,Dinheiro,2226,Não,62,10,1
184,Paulicéia,São Bernardo do Campo,2022-01-24,12:00,Alimentos e bebidas,27.9,1,27.9,Cartão,1213,Sim,28,9,1
179,Paulicéia,São Bernardo do Campo,2022-01-24,12:28,Casa e limpeza,182.9,2,365.8,Cartão,8209,Sim,29,9,1
186,Parque das nações,Santo André,2022-01-24,12:22,Casa e limpeza,23.9,5,119.5,Cartão,4997,Não,49,10,1
188,Paulicéia,São Bernardo do Campo,2022-01-25,19:30,Beleza e cuidados pessoais,59.9,1,59.9,PIX,7165,Não,50,9,1
196,Parque das nações,Santo André,2022-01-25,10:13,Beleza e cuidados pessoais,62.9,2,125.8,Carteira digital,6431,Não,27,9,1
194,Paulicéia,São Bernardo do Campo,2022-01-25,18:53,Beleza e cuidados pessoais,161.9,4,647.6,PIX,1217,Não,40,10,1
195,Oswaldo Cruz,São Caetano do Sul,2022-01-25,19:42,Eletrônicos,6088.9,2,12177.8,Cartão,7799,Sim,22,10,1
187,Paulicéia,São Bernardo do Campo,2022-01-25,16:37,Eletrônicos,7225.0,3,21675.0,PIX,9795,Não,45,10,1
192,Parque das nações,Santo André,2022-01-25,13:27,Alimentos e bebidas,60.9,5,304.5,PIX,4335,Não,45,10,1
189,Paulicéia,São Bernardo do Campo,2022-01-25,11:51,Alimentos e bebidas,15.9,2,31.8,Dinheiro,2292,Não,62,9,1
191,Paulicéia,São Bernardo do Campo,2022-01-25,18:12,Eletrônicos,3474.9,5,17374.5,Cartão,1052,Não,48,10,1
197,Oswaldo Cruz,São Caetano do Sul,2022-01-25,18:13,Casa e limpeza,96.9,5,484.5,Cartão,9907,Sim,28,10,1
190,Parque das nações,Santo André,2022-01-25,17:04,Alimentos e bebidas,61.9,4,247.6,PIX,4239,Não,49,9,1
198,Oswaldo Cruz,São Caetano do Sul,2022-01-25,19:18,Eletrônicos,2348.9,1,2348.9,PIX,9923,Não,48,9,1
193,Parque das nações,Santo André,2022-01-25,10:38,Alimentos e bebidas,86.9,4,347.6,PIX,9483,Não,46,10,1
199,Parque das nações,Santo André,2022-01-26,13:00,Papelaria e escritório,2.9,5,14.5,Cartão,5531,Sim,25,10,1
202,Paulicéia,São Bernardo do Campo,2022-01-26,16:44,Eletrônicos,7497.9,3,22493.699999999997,PIX,9240,Não,46,10,1
205,Paulicéia,São Bernardo do Campo,2022-01-26,11:26,Alimentos e bebidas,23.9,1,23.9,PIX,6452,Sim,34,9,1
207,Oswaldo Cruz,São Caetano do Sul,2022-01-26,14:25,Beleza e cuidados pessoais,201.9,1,201.9,Cartão,2076,Não,42,10,1
